,金融机构部门实物交易资金来源_其他经常转移,金融机构部门实物交易资金来源_其他财产收入,金融机构部门实物交易资金来源_其他资本转移,金融机构部门实物交易资金来源_其他非金融资产获得减处置,金融机构部门实物交易资金来源_净出口,金融机构部门实物交易资金来源_净金融投资,金融机构部门实物交易资金来源_初次分配总收入,金融机构部门实物交易资金来源_利息,金融机构部门实物交易资金来源_劳动者报酬,金融机构部门实物交易资金来源_单位社会保险付款,金融机构部门实物交易资金来源_可支配总收入,金融机构部门实物交易资金来源_固定资本形成总额,金融机构部门实物交易资金来源_地租,金融机构部门实物交易资金来源_增加值,金融机构部门实物交易资金来源_存货增加,金融机构部门实物交易资金来源_居民消费,金融机构部门实物交易资金来源_工资及工资性收入,金融机构部门实物交易资金来源_总储蓄,金融机构部门实物交易资金来源_投资性补助,金融机构部门实物交易资金来源_收入税,金融机构部门实物交易资金来源_政府消费,金融机构部门实物交易资金来源_最终消费,金融机构部门实物交易资金来源_生产税,金融机构部门实物交易资金来源_生产税净额,金融机构部门实物交易资金来源_生产补贴,金融机构部门实物交易资金来源_社会保险福利,金融机构部门实物交易资金来源_社会保险缴款,金融机构部门实物交易资金来源_社会补助,金融机构部门实物交易资金来源_红利,金融机构部门实物交易资金来源_经常转移,金融机构部门实物交易资金来源_财产收入,金融机构部门实物交易资金来源_资本形成总额,金融机构部门实物交易资金来源_资本转移
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,144.29022363,,,,,,794.403551852,5492.70909212,,,517.586102596,,,4086.68576474,,,,517.586102596,1.0,,,,,,,,,,31.7,144.29022363,5524.40909212,,1.0
2001年,276.020454069,,,,,,1504.54344253,5326.61108212,,,1254.41849222,,,4353.45639068,,,,1254.41849222,2.0,,,,,,,,,,54.84,276.020454069,5381.45108212,,2.0
2002年,446.643722465,,,,,,2027.69524279,5313.74685267,,,1927.53026914,,,4612.80072888,,,,1927.53026914,,,,,,,,,,,,446.643722465,5313.74685267,,
2003年,568.467814651,,,,,,2944.74684487,6193.34426578,,,2866.88894324,,,4989.396316,,,,2866.88894324,,,,,,,,,,,,568.467814651,6193.34426578,,
2004年,761.787022867,,,,,,3071.89861998,6989.04253759,,,3075.63124223,,,5392.97481907,,,,3075.63124223,,,,,,,,,,,,761.787022867,6989.04253759,,
2005年,885.657003528,,,,,,3494.23864984,8248.98581958,,,3100.652338,,,6086.8262039,,,,3100.652338,,,,,,,,,,,,885.657003528,8248.98581958,,
2006年,1089.93574263,,,,,,5223.88461896,13242.2669415,,,4303.43575766,,,8099.08219302,,,,4303.43575766,,,,,,,,,,,,1089.93574263,13242.2669415,,
2007年,1352.94132437,,,,,,6824.38776262,16543.077128,,,5284.52597317,,,12337.5493091,,,,5284.52597317,,,,,,,,,,,,1352.94132437,16543.077128,,
2008年,1506.32269492,,,,,,9476.51082488,23463.6993866,,,7106.18003534,,,14863.2504956,,,,7106.18003534,,,,,,,,,,,395.76699096,1506.32269492,23859.4663775,,
2009年,2270.03222498,,,,,,10894.3999296,22645.2746903,,,8405.6981648,,,17767.5261898,,,,8405.6981648,,,,,,,,,,,404.628040074,2270.03222498,23049.9027304,,
2010年,2957.68473641,,,,,,14582.4828629,29170.4439358,,,13206.5463731,,,20980.6,,,,13206.5463731,,,,,,,,,,,545.999968104,2957.68473641,29716.4439039,,
2011年,3311.12480439,,,,,,17358.5813608,42808.7356404,,,15179.1828131,,,24958.2885606,,,,15179.1828131,,,,,,,,,,,620.435055803,3311.12480439,43429.1706962,,
2012年,3703.27059933,,,,,,20753.0222178,53860.037205,,,16855.3536452,,,28722.68054,,,,16855.3536452,,,,,,,,,,,752.358153579,3703.27059933,54612.3953586,,
2013年,4274.86784837,,,,,,19865.7802661,41887.078732,,,14963.2021242,,,41190.4705108,,,,14963.2021242,,,,,,,,,,,760.72077414,4274.86784837,42647.7995061,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
