,住户部门金融交易资金运用_中央银行贷款,住户部门金融交易资金运用_保险准备金,住户部门金融交易资金运用_其他(净),住户部门金融交易资金运用_其他对外债权债务,住户部门金融交易资金运用_净金融投资,住户部门金融交易资金运用_准备金,住户部门金融交易资金运用_国际储备资产,住户部门金融交易资金运用_国际收支错误与遗漏,住户部门金融交易资金运用_存款,住户部门金融交易资金运用_库存现金,住户部门金融交易资金运用_未贴现的银行承兑汇票,住户部门金融交易资金运用_直接投资,住户部门金融交易资金运用_证券,住户部门金融交易资金运用_证券公司客户保证金,住户部门金融交易资金运用_证券投资基金份额,住户部门金融交易资金运用_贷款,住户部门金融交易资金运用_资金来源,住户部门金融交易资金运用_资金运用,住户部门金融交易资金运用_通货,住户部门金融交易资金运用_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,52.5,,,4291.1,,,,2693.9,,,,845.4,,,,,4448.9,857.1,
1993年,,61.56,,,4892.05,,,,3369.11,,,,497.87,,,,,5061.56,1133.02,
1994年,,56.47,,,7499.51,,,,6169.86,,,,473.25,,,,,7766.33,1066.75,
1995年,,90.69,,,8513.24,,,,7722.66,,,,607.95,,,,,8868.32,447.02,
1996年,,127.28,,,10902.39,,,,8515.24,,,,1566.07,,,,,10991.72,783.13,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,298.26,-119.66,,11626.16,,,,9257.12,,,,2179.27,,,,,12465.74,850.75,
1999年,,572.87,-4.11,,10898.08,,,,7280.53,,,,2491.61,,,,,12214.41,1868.61,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,1155.93,241.91,,10611.12,,,,9973.25,,,,1907.66,,,,,14117.9,873.87,
2002年,,2543.138323,94.34,,14646.5369467,,,,14251.703684,,,,1514.80140501,,,,,19720.8540838,1319.06111681,
2003年,,3036.0411,142.478546847,,16122.3884067,,,,16559.6931997,,,,1306.72482966,,,,,23110.0111603,2048.0,
2004年,,3515.8214634,139.42214437,,15450.3564928,,,,15678.2397325,,,,511.141953988,,,,,21252.8493347,1434.20286319,
2005年,,4201.5604016,1343.46767588,,26372.1733724,,,,21053.4569981,,,,270.438487802,,,,,29913.0115652,2127.59655213,
2006年,,4365.0,185.0,,27706.0,,,,21284.0,,,,1083.0,3416.0,1519.0,,,34370.0,2524.0,
2007年,,6221.0,1410.0,,23119.0,,,,10407.0,,,,1912.0,8986.0,3438.0,,,35098.0,2741.0,
2008年,,8084.0,-81.0,,50290.0,,,,46543.0,,,,1748.0,-5340.0,2936.0,,,57302.0,3413.0,
2009年,,8396.0,54.0,,35907.0,,,,43160.0,,,,4507.0,2356.0,-1035.0,,,60796.0,3358.0,
2010年,,5638.12372,7386.99763418,,37715.0646895,,,,44491.542902,,,,6498.48016324,-737.235397916,-456.53079692,,,68262.8233595,5441.44513489,
2011年,,6417.0,13823.0,,48644.0,,,,47690.0,,,,2484.0,-1840.0,606.0,,,74140.0,4961.0,
2012年,,13628.0,14076.0,,69335.0,,,,58929.0,,,,4493.0,-408.0,3097.0,,,97059.0,3245.0,
2013年,,13160.2305795,13300.3870446,,48913.0858646,,,,55887.61848,,,,4881.37753388,-84.6175787238,368.59609,,,90763.3721158,3249.77996658,
2014年,,,,,,,,,,,,,,,,,,,,
