,国内金融交易资金来源_中央银行贷款,国内金融交易资金来源_保险准备金,国内金融交易资金来源_其他(净),国内金融交易资金来源_其他对外债权债务,国内金融交易资金来源_净金融投资,国内金融交易资金来源_准备金,国内金融交易资金来源_国际储备资产,国内金融交易资金来源_国际收支错误与遗漏,国内金融交易资金来源_存款,国内金融交易资金来源_库存现金,国内金融交易资金来源_未贴现的银行承兑汇票,国内金融交易资金来源_直接投资,国内金融交易资金来源_证券,国内金融交易资金来源_证券公司客户保证金,国内金融交易资金来源_证券投资基金份额,国内金融交易资金来源_贷款,国内金融交易资金来源_资金来源,国内金融交易资金来源_资金运用,国内金融交易资金来源_通货,国内金融交易资金来源_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,71.8,-1264.0,,,,,-456.2,5964.7,,,,1152.9,,,5695.0,13846.8,,1162.1,
1993年,2917.12,87.93,-539.66,,,1574.52,,-564.91,6478.43,194.1,,,637.82,,,7573.55,22636.1,,1528.7,52.6
1994年,859.29,125.22,-170.99,,,2062.28,,-842.41,11776.92,26.96,,,1616.29,,,9174.66,30757.5,,1424.0,26.15
1995年,888.58,137.84,-2146.35,,,2280.02,,-1487.34,13414.0,59.39,,,2062.45,,,9946.4,32097.8,,596.74,-37.67
1996年,3863.47,197.03,-2661.41,,,4696.1,,-1293.6,16720.53,-48.52,,,2549.07,,,15130.59,46896.07,,916.67,-168.43
1997年,,,,,,,,,,,,,,,,,,,,
1998年,-1993.32,312.38,538.52,-60.61,,-1523.42,,-1372.35,14173.85,65.53,,3622.26,7432.62,,,10988.08,33587.4,,1026.54,797.06
1999年,250.9,598.79,-621.13,581.0,,347.19,,-1361.09,13399.0,752.93,,3208.0,5122.06,,,10689.02,37424.03,,2251.34,1993.51
2000年,,,,,,,,,,,,,,,,,,,,
2001年,305.45,1219.88,350.88,-209.94,,1983.01,,-450.16,19135.64,-102.97,,3661.76,5148.14,,,12910.82,44317.94,,1036.15,-952.63
2002年,-455.661802524,2635.081944,-1008.90994081,191.84877558,,1640.16501655,,549.776670677,27911.778352,128.359016588,,4081.22125629,8020.08354,,,19470.3664186,66154.9601171,,1589.23026121,1345.82617957
2003年,850.062648471,3193.6146,862.851542715,514.21905402,,3910.09919794,,1376.73979809,36159.6053833,289.307071782,,3896.54003163,10608.71,,,29659.2044193,95600.7495206,,2467.96438499,1642.71888418
2004年,-1191.1275445,3647.9591857,1938.64011724,1895.19749574,,4723.56986604,0.0,2135.12870297,33761.5592234,176.403905658,,4546.98282494,15595.9864476,,,24440.2373109,93782.9474878,,1722.31073349,500.733793739
2005年,-1707.76938597,4394.1236463,735.589014111,2358.5701559,,2832.72870869,,-1373.43901716,42473.0338576,399.93797009,,6481.82442333,22966.613282,,,23143.3891526,109778.882185,,2563.36933992,4749.33610109
2006年,-1651.0,4607.0,3980.0,1551.0,,11423.0,,-1027.0,50017.0,80.0,,6226.0,26207.0,3416.0,1191.0,33845.0,142157.0,,3041.0,-2440.0
2007年,-8714.0,6568.0,5386.0,2230.0,,20713.0,,1159.0,54243.0,571.0,,9778.0,39422.0,8986.0,5437.0,39509.0,186756.0,,3303.0,-2317.0
2008年,-485.0,8577.0,1529.0,-1242.0,,21100.0,,-1814.0,77381.0,50.0,,10271.0,29997.0,-5340.0,3336.0,51293.0,193558.0,,4112.0,-5206.0
2009年,-1589.0,8791.0,-643.0,2241.0,,11507.0,,-2975.0,132764.0,416.0,,5341.0,29778.0,6272.0,-1206.0,104428.0,305481.0,,4046.0,6312.0
2010年,469.058602,6304.872357,19395.0467915,3382.61889993,,33260.799686,,-4040.0160753,130662.156761,713.992937,46692.0,12529.0409946,39546.6953775,-2372.86666667,-1566.3,95412.5081285,390439.791493,,6507.436967,3542.74673274
2011年,-727.0,7348.0,26753.0,2965.0,,36154.0,,-2259.0,113415.0,1042.0,20542.0,14224.0,21611.0,-6511.0,2282.0,95592.0,342780.0,,6162.0,4188.0
2012年,476.0,14274.0,51780.0,3040.0,,23150.0,,-5014.0,129748.0,928.0,20998.0,15932.0,46068.0,-685.0,5198.0,119315.0,429058.0,,3910.0,-60.0
2013年,412.737557982,14001.1494871,54654.9075865,4886.08736844,,14302.3222683,,-4788.00228444,153562.483675,419.565446946,15511.3108241,15925.8427819,39428.2543847,-310.409313,1352.15,145636.611375,477185.379495,,3915.3975501,18274.9707859
2014年,,,,,,,,,,,,,,,,,,,,
