,非金融企业部门金融交易资金来源_中央银行贷款,非金融企业部门金融交易资金来源_保险准备金,非金融企业部门金融交易资金来源_其他(净),非金融企业部门金融交易资金来源_其他对外债权债务,非金融企业部门金融交易资金来源_净金融投资,非金融企业部门金融交易资金来源_准备金,非金融企业部门金融交易资金来源_国际储备资产,非金融企业部门金融交易资金来源_国际收支错误与遗漏,非金融企业部门金融交易资金来源_存款,非金融企业部门金融交易资金来源_库存现金,非金融企业部门金融交易资金来源_未贴现的银行承兑汇票,非金融企业部门金融交易资金来源_直接投资,非金融企业部门金融交易资金来源_证券,非金融企业部门金融交易资金来源_证券公司客户保证金,非金融企业部门金融交易资金来源_证券投资基金份额,非金融企业部门金融交易资金来源_贷款,非金融企业部门金融交易资金来源_资金来源,非金融企业部门金融交易资金来源_资金运用,非金融企业部门金融交易资金来源_通货,非金融企业部门金融交易资金来源_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,-456.2,,,,,807.2,,,5363.9,6876.2,,,
1993年,,,,,,,,-564.91,,,,,283.1,,,7063.06,9119.71,,,
1994年,,,,,,,,-842.41,,,,,94.63,,,8802.85,12410.11,,,
1995年,,,,,,,,-1487.34,,,,,-2.02,,,9696.32,12968.44,,,
1996年,,,,,,,,-1293.6,,,,,380.8,,,15041.26,19698.47,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,268.2,,,,-1372.35,,,,3622.26,876.82,,,10148.5,13543.44,,,
1999年,,,,1069.0,,,,-1361.09,,,,3208.0,1028.07,,,9140.42,13084.4,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,-222.12,,,,-450.16,,,,3661.76,1398.94,,,9413.6,13802.03,,,
2002年,,,,243.08853732,,,,549.776670677,,,,4081.22125629,1286.73846,,,14485.9676525,20646.7925768,,,
2003年,,,0.0,400.30949016,,,,1376.73979809,,,,3896.54003163,1795.6,,,23734.8492713,31204.0385912,,,
2004年,,,,1540.63287493,,,,2135.12870297,,,,4546.98282494,2013.6968736,,,17707.5720365,27944.0133129,,,
2005年,,,,2079.95708643,,,,-1373.43901716,,,,6481.82442333,3084.390411,,,19165.809129,29438.5420326,,,
2006年,,,,1047.0,,,,-1027.0,,,,6226.0,5080.0,,,26403.0,37729.0,,,
2007年,,,,2054.0,,,,1159.0,,,,9248.0,7760.0,,,26471.0,46691.0,,,
2008年,,,,-1322.0,,,,-1814.0,,,,10271.0,8733.0,,,42092.0,57960.0,,,
2009年,,,,2190.0,,,,-2975.0,,,,5341.0,16810.0,,,78990.0,100357.0,,,
2010年,,,,3354.42431829,,,,-4040.0160753,,,23346.0,12529.0409946,18532.8798,,,64263.6771585,117986.006196,,,
2011年,,,,2466.0,,,,-2259.0,,,10271.0,14224.0,19397.0,,,66963.0,111061.0,,,
2012年,,,,1429.0,,,,-5014.0,,,10499.0,15932.0,24660.0,,,91609.0,139116.0,,,
2013年,,,,3131.60032621,,,,-4788.00228444,,,7755.65541205,15925.8427819,22340.0624112,,,103757.271106,148122.429753,,,
2014年,,,,,,,,,,,,,,,,,,,,
