,非金融企业部门金融交易资金运用_中央银行贷款,非金融企业部门金融交易资金运用_保险准备金,非金融企业部门金融交易资金运用_其他(净),非金融企业部门金融交易资金运用_其他对外债权债务,非金融企业部门金融交易资金运用_净金融投资,非金融企业部门金融交易资金运用_准备金,非金融企业部门金融交易资金运用_国际储备资产,非金融企业部门金融交易资金运用_国际收支错误与遗漏,非金融企业部门金融交易资金运用_存款,非金融企业部门金融交易资金运用_库存现金,非金融企业部门金融交易资金运用_未贴现的银行承兑汇票,非金融企业部门金融交易资金运用_直接投资,非金融企业部门金融交易资金运用_证券,非金融企业部门金融交易资金运用_证券公司客户保证金,非金融企业部门金融交易资金运用_证券投资基金份额,非金融企业部门金融交易资金运用_贷款,非金融企业部门金融交易资金运用_资金来源,非金融企业部门金融交易资金运用_资金运用,非金融企业部门金融交易资金运用_通货,非金融企业部门金融交易资金运用_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,19.3,-1264.0,,-3342.5,,,,3348.9,,,,107.8,,,,,3533.7,222.8,
1993年,,26.37,-539.66,,-5672.41,,,,2558.99,,,,,,,,,3447.3,324.02,
1994年,,68.75,-170.99,,-6682.97,,,,4424.18,,,,,,,,,5727.14,305.34,
1995年,,47.15,-2146.35,,-8079.47,,,,4518.38,,,,-1.55,,,,,4888.97,127.94,
1996年,,69.75,-1416.35,,-11967.76,,,,6745.74,,,,4.88,,,,,7730.71,89.48,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,14.12,-1493.79,2833.92,-8446.58,,,,3847.63,,,218.06,,,,,,5096.85,96.68,
1999年,,25.93,-1126.9,1985.0,-6418.62,,,,5053.07,,,147.0,,,,,,6665.77,202.62,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,63.95,806.49,-864.12,-5725.0,,,,7096.34,,,569.89,,,,-5.4,,8077.03,93.25,
2002年,,91.943621,-466.718721756,-575.63778759,-10449.7416779,,,,10738.0103323,,,208.44854739,,,,,,10197.0508988,143.030723509,
2003年,,157.5735,802.451296049,-424.83399285,-14530.6526774,,,,15776.3147094,,,-12.60371898,,,,,,16673.3859138,222.0,
2004年,,132.1377223,2767.74469881,34.43852328,-9080.74439702,,,,15710.6000903,,,149.400626704,,,,-1.9129661954,,18863.2689159,155.515973117,
2005年,,192.5632447,766.588022153,1743.45392839,-14716.426025,,,,12477.2430788,,,926.128043896,,,,1.7753791954,,14722.1160076,230.703240592,
2006年,,242.0,3421.0,1858.0,-9637.0,,,,19312.0,,,1421.0,,,-132.0,,,28092.0,274.0,
2007年,,346.0,2918.0,1011.0,-11453.0,,,,28556.0,,,1201.0,,,408.0,,,35237.0,297.0,
2008年,,493.0,1610.0,713.0,-27546.0,,,,23419.0,,,3716.0,87.0,,8.0,,,30415.0,370.0,
2009年,,395.0,-717.0,3717.0,-25326.0,,,,65916.0,,,2999.0,-184.0,2545.0,-5.0,,,75031.0,364.0,
2010年,,666.748637,9227.10519934,4174.09742825,-15122.5535443,,,,62584.232838,,23346.0,4071.89990297,168.892362,-1398.34460208,-562.848440656,,,102863.452652,585.66932703,
2011年,,931.0,8808.0,4958.0,-44271.0,,,,41373.0,,10271.0,3211.0,-157.0,-4020.0,860.0,,,66790.0,555.0,
2012年,,646.0,27388.0,4126.0,-44272.0,,,,46968.0,,10499.0,3919.0,951.0,-4.0,29.0,,,94843.0,321.0,
2013年,,840.918907601,28317.6540194,3875.29996288,-37420.9567132,,,,59271.044063,,7755.65541205,4517.43077312,5507.59641516,-87.7697852973,382.32717325,,,110701.47304,321.316098785,
2014年,,,,,,,,,,,,,,,,,,,,
