,出口商品总额,初级产品出口额,动、植物油脂及蜡出口额,化学品及有关产品出口额,工业制成品出口额,未分类的其他商品出口额,机械及运输设备出口额,杂项制品出口额,矿物燃料、润滑油及有关原料出口额,轻纺产品、橡胶制品矿冶产品及其制品出口额,非食用原料出口额,食品及主要供食用的活动物出口额,饮料及烟类出口额
1978年,9750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,13660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,18119.0,9114.0,60.0,1120.0,9005.0,207.0,843.0,2836.0,4280.0,3999.0,1711.0,2985.0,78.0
1981年,22010.0,10248.0,88.0,1342.0,11759.0,899.0,1087.0,3725.0,5228.0,4706.0,1948.0,2924.0,60.0
1982年,22320.0,10050.0,78.0,1196.0,12271.0,1805.0,1263.0,3705.0,5314.0,4302.0,1653.0,2908.0,97.0
1983年,22230.0,9620.0,105.0,1251.0,12606.0,1965.0,1221.0,3804.0,4666.0,4365.0,1892.0,2853.0,104.0
1984年,26140.0,11934.0,144.0,1364.0,14205.0,1597.0,1493.0,4697.0,6027.0,5054.0,2421.0,3232.0,110.0
1985年,27350.0,13828.0,135.0,1358.0,13522.0,3413.0,772.0,3486.0,7132.0,4493.0,2653.0,3803.0,105.0
1986年,30940.0,11272.0,114.0,1733.0,19670.0,6009.0,1094.0,4948.0,3683.0,5886.0,2908.0,4448.0,119.0
1987年,39440.0,13231.0,81.0,2235.0,26206.0,7387.0,1741.0,6273.0,4544.0,8570.0,3650.0,4781.0,175.0
1988年,47520.0,14406.0,74.0,2897.0,33110.0,8687.0,2769.0,8268.0,3950.0,10489.0,4257.0,5890.0,235.0
1989年,52540.0,15078.0,86.0,3201.0,37460.0,8733.0,3874.0,10755.0,4321.0,10897.0,4212.0,6145.0,314.0
1990年,62091.0,15886.0,161.0,3730.0,46205.0,11625.0,5588.0,12686.0,5237.0,12576.0,3537.0,6609.0,342.0
1991年,71910.0,16145.0,150.0,3818.0,55698.0,13655.0,7149.0,16620.0,4754.0,14456.0,3486.0,7226.0,529.0
1992年,84940.0,17004.0,139.0,4348.0,67936.0,0.0,13219.0,34234.0,4693.0,16135.0,3143.0,8309.0,720.0
1993年,91744.0,16666.0,205.0,4623.0,75078.0,0.0,15282.0,38781.0,4109.0,16392.0,3052.0,8399.0,901.0
1994年,121006.0,19708.0,495.0,6236.0,101298.0,12.0,21895.0,49937.0,4069.0,23218.0,4127.0,10015.0,1002.0
1995年,148780.0,21485.0,454.0,9094.0,127295.0,6.0,31407.0,54548.0,5332.0,32240.0,4375.0,9954.0,1370.0
1996年,151048.0,21925.0,376.0,8877.0,129123.0,12.0,35312.0,56424.0,5931.0,28498.0,4045.0,10231.0,1342.0
1997年,182792.0,23953.0,647.0,10227.0,158839.0,4.0,43709.0,70467.0,6987.0,34432.0,4195.0,11075.0,1049.0
1998年,183709.0,20489.0,307.0,10321.0,163220.0,5.0,50217.0,70200.0,5175.0,32477.0,3519.0,10513.0,975.0
1999年,194931.0,19941.0,132.0,10373.0,174990.0,9.0,58836.0,72510.0,4659.0,33262.0,3921.0,10458.0,771.0
2000年,249203.0,25460.0,116.0,12098.0,223743.0,221.0,82600.0,86278.0,7855.0,42546.0,4462.0,12282.0,745.0
2001年,266098.0,26338.0,111.0,13352.0,239760.0,584.0,94901.0,87110.0,8405.0,43813.0,4172.0,12777.0,873.0
2002年,325596.0,28540.0,98.0,15325.0,297056.0,648.0,126976.0,101153.0,8435.0,52955.0,4402.0,14621.0,984.0
2003年,438228.0,34812.0,115.0,19581.0,403416.0,956.0,187773.0,126088.0,11114.0,69018.0,5032.0,17531.0,1019.0
2004年,593326.0,40549.0,148.0,26360.0,552777.0,1112.0,268260.0,156398.0,14480.0,100646.0,5843.2,18864.0,1214.0
2005年,761953.0,49037.0,268.0,35772.0,712916.0,1606.0,352234.0,194183.0,17622.0,129121.0,7484.0,22480.0,1183.0
2006年,968978.0,52919.0,373.0,44530.0,916017.0,2315.0,456343.0,238014.0,17770.0,174816.0,7860.0,25723.0,1193.0
2007年,1220456.0,61509.101,302.755,60323.845,1156266.655,2176.487,577044.663,296844.464,19950.868,219877.195,9116.295,30742.648,1396.535
2008年,1430693.06608,77956.932,573.691,79346.416,1352736.134,1710.033,673329.153,335959.317,31772.923,262391.215,11318.901,32761.992,1529.425
2009年,1201611.806,63111.794,316.252,62017.021,1138483.473,1629.134,590274.465,299746.872,20373.732,184815.98,8153.077,32627.782,1640.951
2010年,1577754.315,81685.755,355.465,87571.926,1496068.56,1467.884,780268.755,377651.927,26673.092,249108.067,11603.027,41148.26,1905.91
2011年,1898381.0,100545.0,526.0,114788.0,1797836.0,2343.0,901774.0,459370.0,32274.0,319560.0,14977.0,50493.0,2276.0
2012年,2048714.419,100558.212,544.473,113565.357,1948156.134,1416.792,964361.302,535671.874,31006.959,333140.809,14341.466,52074.909,2590.405
2013年,2209003.999,107267.627,583.832,119617.54,2101736.372,1729.045,1038534.386,581249.011,33786.102,360606.39,14562.732,55726.089,2608.873
2014年,2342292.696,112692.127,623.122,134543.225,2229600.57,2267.162,1070504.351,622061.623,34446.007,400224.208,15826.367,58913.616,2883.014
