,中国同丹麦进口总额,中国同乌克兰进口总额,中国同亚美尼亚进口总额,中国同俄罗斯进口总额,中国同保加利亚进口总额,中国同克罗地亚进口总额,中国同冰岛进口总额,中国同列支敦士登进口总额,中国同匈牙利进口总额,中国同卢森堡进口总额,中国同圣马力诺进口总额,中国同塞尔维亚进口总额,中国同奥地利进口总额,中国同安道尔进口总额,中国同希腊进口总额,中国同德国进口总额,中国同意大利进口总额,中国同拉脱维亚进口总额,中国同挪威进口总额,中国同捷克进口总额,中国同摩尔多瓦进口总额,中国同摩纳哥进口总额,中国同斯洛伐克进口总额,中国同斯洛文尼亚进口总额,中国同格鲁吉亚进口总额,中国同梵蒂冈城国进口总额,中国同欧洲进口总额,中国同比利时进口总额,中国同法国进口总额,中国同法罗群岛进口总额,中国同波兰进口总额,中国同波黑进口总额,中国同爱尔兰进口总额,中国同爱沙尼亚进口总额,中国同瑞典进口总额,中国同瑞士进口总额,中国同白俄罗斯进口总额,中国同直布罗陀进口总额,中国同立陶宛进口总额,中国同罗马尼亚进口总额,中国同芬兰进口总额,中国同英国进口总额,中国同荷兰进口总额,中国同葡萄牙进口总额,中国同西班牙进口总额,中国同阿塞拜疆进口总额,中国同阿尔巴尼亚进口总额,中国同马其顿进口总额,中国同马耳他进口总额,中国同黑山进口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,31892.0,18494.0,6.0,364001.0,280.0,40.0,730.0,,1281.0,4621.0,,,27637.0,,2048.0,702066.0,227903.0,820.0,30436.0,2605.0,51.0,,233.0,196.0,161.0,,2634254.0,87840.0,320486.0,,5586.0,13.0,10608.0,776.0,204635.0,79556.0,1088.0,,39.0,1991.0,125995.0,195263.0,83438.0,2696.0,48025.0,16.0,,12.0,175.0,
