,外商投资企业出口总额,外商投资企业进出口总额,外商投资企业进口总额
1978年,,,
1979年,,,
1980年,,,
1981年,,,
1982年,,,
1983年,,,
1984年,,,
1985年,,,
1986年,,,
1987年,,,
1988年,,,
1989年,,,
1990年,,,
1991年,,,
1992年,,,
1993年,,,
1994年,,,
1995年,,,
1996年,,,
1997年,,,
1998年,,,
1999年,,,
2000年,119441.21,236713.9,117272.69
2001年,,,
2002年,,,
2003年,,,
2004年,,,
2005年,444200.0,831700.0,387500.0
2006年,563779.048,1036269.486,472490.438
2007年,695370.76909,1255163.80653,559793.037441
2008年,790492.702789,1409921.18768,619428.484891
2009年,672074.09,1217478.36,545404.27
2010年,862228.819691,1600615.24328,738386.423588
2011年,995227.038013,1859898.73868,864671.700671
2012年,1022620.075,1894120.199,871500.124
2013年,1043724.098,1918314.579,874590.48
2014年,1074619.92468,1983557.68057,908937.755899
