,中国对乌拉圭劳务合作年末在外人员,中国对伯利兹劳务合作年末在外人员,中国对危地马拉劳务合作年末在外人员,中国对厄瓜多尔劳务合作年末在外人员,中国对古巴劳务合作年末在外人员,中国对哥伦比亚劳务合作年末在外人员,中国对哥斯达黎加劳务合作年末在外人员,中国对圣卢西亚劳务合作年末在外人员,中国对圣文森特和格林纳丁斯劳务合作年末在外人员,中国对圭亚那劳务合作年末在外人员,中国对墨西哥劳务合作年末在外人员,中国对多米尼克劳务合作年末在外人员,中国对多米尼加共和国劳务合作年末在外人员,中国对委内瑞拉劳务合作年末在外人员,中国对安提瓜和巴布达劳务合作年末在外人员,中国对尼加拉瓜劳务合作年末在外人员,中国对巴哈马劳务合作年末在外人员,中国对巴巴多斯劳务合作年末在外人员,中国对巴拉圭劳务合作年末在外人员,中国对巴拿马劳务合作年末在外人员,中国对巴西劳务合作年末在外人员,中国对拉丁美洲劳务合作年末在外人员,中国对智利劳务合作年末在外人员,中国对格林纳达劳务合作年末在外人员,中国对洪都拉斯劳务合作年末在外人员,中国对海地劳务合作年末在外人员,中国对牙买加劳务合作年末在外人员,中国对特克斯和凯科斯岛劳务合作年末在外人员,中国对特立尼达和多巴哥劳务合作年末在外人员,中国对玻利维亚劳务合作年末在外人员,中国对秘鲁劳务合作年末在外人员,中国对苏里南劳务合作年末在外人员,中国对英属维尔京群岛劳务合作年末在外人员,中国对阿根廷劳务合作年末在外人员
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,73.0,,2.0,,,,48.0,246.0,,289.0,,,111.0,,49.0,286.0,16.0,,1426.0,123.0,4341.0,387.0,,18.0,,15.0,57.0,963.0,,82.0,,55.0,95.0
2012年,,572.0,,108.0,,,,,1232.0,,259.0,11.0,,127.0,11.0,,1586.0,18.0,,10228.0,75.0,16106.0,484.0,,,,23.0,,961.0,,82.0,10.0,,133.0
2013年,,778.0,,46.0,,,,,762.0,,18.0,22.0,,531.0,2.0,8.0,2342.0,10.0,,10447.0,159.0,17181.0,432.0,,1.0,,230.0,,844.0,,242.0,69.0,100.0,85.0
2014年,,1267.0,,432.0,,21.0,,,1079.0,40.0,14.0,22.0,2.0,805.0,42.0,7.0,4576.0,74.0,,24023.0,160.0,34974.0,508.0,,16.0,,397.0,,844.0,27.0,242.0,26.0,50.0,215.0
