,中国对乌拉圭劳务合作派出人数,中国对伯利兹劳务合作派出人数,中国对危地马拉劳务合作派出人数,中国对厄瓜多尔劳务合作派出人数,中国对古巴劳务合作派出人数,中国对哥伦比亚劳务合作派出人数,中国对哥斯达黎加劳务合作派出人数,中国对圣卢西亚劳务合作派出人数,中国对圣文森特和格林纳丁斯劳务合作派出人数,中国对圭亚那劳务合作派出人数,中国对墨西哥劳务合作派出人数,中国对多米尼克劳务合作派出人数,中国对多米尼加共和国劳务合作派出人数,中国对委内瑞拉劳务合作派出人数,中国对安提瓜和巴布达劳务合作派出人数,中国对尼加拉瓜劳务合作派出人数,中国对巴哈马劳务合作派出人数,中国对巴巴多斯劳务合作派出人数,中国对巴拉圭劳务合作派出人数,中国对巴拿马劳务合作派出人数,中国对巴西劳务合作派出人数,中国对拉丁美洲劳务合作派出人数,中国对智利劳务合作派出人数,中国对格林纳达劳务合作派出人数,中国对洪都拉斯劳务合作派出人数,中国对海地劳务合作派出人数,中国对牙买加劳务合作派出人数,中国对特克斯和凯科斯岛劳务合作派出人数,中国对特立尼达和多巴哥劳务合作派出人数,中国对玻利维亚劳务合作派出人数,中国对秘鲁劳务合作派出人数,中国对苏里南劳务合作派出人数,中国对英属维尔京群岛劳务合作派出人数,中国对阿根廷劳务合作派出人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,151.0,,31.0,,,70.0,,,286.0,16.0,,1451.0,96.0,2579.0,284.0,,,,15.0,,82.0,,,,78.0,19.0
2012年,,582.0,,117.0,,,,,1743.0,,68.0,16.0,,78.0,13.0,,1621.0,2.0,,14444.0,48.0,19264.0,255.0,,,,8.0,,,,,10.0,,92.0
2013年,,943.0,,21.0,,,,48.0,1141.0,,2.0,16.0,,452.0,2.0,,1683.0,5.0,,14534.0,85.0,19775.0,286.0,,28.0,,161.0,,,,163.0,69.0,32.0,16.0
2014年,,841.0,,386.0,,36.0,,,1097.0,40.0,1.0,,,421.0,13.0,,2834.0,64.0,,18579.0,1.0,25106.0,301.0,,4.0,,228.0,,,27.0,,2.0,,153.0
