,中国对丹麦承包工程派出人数,中国对乌克兰承包工程派出人数,中国对亚美尼亚承包工程派出人数,中国对俄罗斯承包工程派出人数,中国对保加利亚承包工程派出人数,中国对冰岛承包工程派出人数,中国对匈牙利承包工程派出人数,中国对塞尔维亚承包工程派出人数,中国对奥地利承包工程派出人数,中国对希腊承包工程派出人数,中国对德国承包工程派出人数,中国对意大利承包工程派出人数,中国对挪威承包工程派出人数,中国对捷克承包工程派出人数,中国对摩尔多瓦承包工程派出人数,中国对摩纳哥承包工程派出人数,中国对斯洛伐克承包工程派出人数,中国对斯洛文尼亚承包工程派出人数,中国对格鲁吉亚承包工程派出人数,中国对欧洲承包工程派出人数,中国对比利时承包工程派出人数,中国对法国承包工程派出人数,中国对波兰承包工程派出人数,中国对波斯尼亚-黑塞哥维那承包工程派出人数,中国对爱尔兰承包工程派出人数,中国对爱沙尼亚承包工程派出人数,中国对瑞典承包工程派出人数,中国对瑞士承包工程派出人数,中国对白俄罗斯承包工程派出人数,中国对立陶宛承包工程派出人数,中国对罗马尼亚承包工程派出人数,中国对芬兰承包工程派出人数,中国对英国承包工程派出人数,中国对荷兰承包工程派出人数,中国对葡萄牙承包工程派出人数,中国对西班牙承包工程派出人数,中国对阿塞拜缰承包工程派出人数,中国对阿尔巴尼亚承包工程派出人数,中国对马其顿共和国承包工程派出人数,中国对马耳他承包工程派出人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,1.0,10.0,,2991.0,16.0,,6.0,80.0,6.0,,77.0,5.0,,,1.0,,,,706.0,4624.0,41.0,,67.0,,,1.0,63.0,16.0,276.0,3.0,34.0,18.0,32.0,1.0,,5.0,168.0,,,
2012年,,,,4502.0,24.0,2.0,1.0,134.0,12.0,3.0,43.0,29.0,,3.0,4.0,,,,833.0,7931.0,5.0,11.0,2.0,,,,20.0,31.0,2057.0,,58.0,2.0,9.0,,,2.0,122.0,2.0,,13.0
2013年,,37.0,,4705.0,140.0,,,,4.0,71.0,25.0,52.0,,,2.0,,,,727.0,9603.0,19.0,3.0,113.0,166.0,57.0,,2.0,8.0,3037.0,,,,4.0,,,4.0,386.0,3.0,,33.0
2014年,,,3.0,5874.0,86.0,,,514.0,,5.0,10.0,3.0,3.0,,,,,,653.0,10162.0,28.0,13.0,32.0,471.0,,,4.0,,1902.0,,16.0,,7.0,,,1.0,133.0,62.0,310.0,10.0
