,其他单位就业人员平均工资,国有单位就业人员平均工资,城镇单位就业人员平均工资,城镇集体单位就业人员平均工资,外商投资单位就业人员平均工资,有限责任公司就业人员平均工资,港、澳、台商投资单位就业人员平均工资,联营单位就业人员平均工资,股份合作单位就业人员平均工资,股份有限公司就业人员平均工资
1978年,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0
2000年,9888,9441,9333,6241,15692,9750,12210,10608,7479,11105
2001年,11888,11045,10834,6851,17553,11024,12959,11882,8446,12333
2002年,10444,12701,12373,7636,19409,11994,14197,12438,9498,13815
2003年,10670,14358,13969,8627,21016,13358,15155,13556,10558,15738
2004年,10211,16445,15920,9723,22250,15103,16237,15218,11710,18136
2005年,11230,18978,18200,11176,23625,17010,17833,17476,13808,20272
2006年,13262,21706,20856,12866,26552,19366,19678,19883,15190,24383
2007年,16280,26100,24721,15444,29594,22343,22593,23746,17613,28587
2008年,19591,30287,28898,18103,34250,26198,26083,27576,21497,34026
2009年,21633,34130,32244,20607,37101,28692,28090,29474,25020,38417
2010年,25253,38359,36539,24010,41739,32799,31983,33939,30271,44118
2011年,29961,43483,41799,28791,48869,37611,38341,36142,36740,49978
2012年,34694,48357,46769,33784,55888,41860,44103,42083,43433,56254
2013年,38306,52657,51483,38905,63171,46718,49961,43973,48657,61145
2014年,42224,57296,56360,42742,69826,50942,55935,49078,54806,67421
