,交通运输、仓储和邮政业城镇单位就业人员工资总额,住宿和餐饮业城镇单位就业人员工资总额,信息传输、计算机服务和软件业城镇单位就业人员工资总额,公共管理和社会组织城镇单位就业人员工资总额,农、林、牧、渔业城镇单位就业人员工资总额,制造业城镇单位就业人员工资总额,卫生、社会保障和社会福利业城镇单位就业人员工资总额,城镇单位就业人员工资总额,居民服务和其他服务业城镇单位就业人员工资总额,建筑业城镇单位就业人员工资总额,房地产业城镇单位就业人员工资总额,批发和零售业城镇单位就业人员工资总额,教育城镇单位就业人员工资总额,文化、体育和娱乐业城镇单位就业人员工资总额,水利、环境和公共设施管理业城镇单位就业人员工资总额,电力、燃气及水的生产和供应业城镇单位就业人员工资总额,科学研究、技术服务和地质勘查业城镇单位就业人员工资总额,租赁和商务服务业城镇单位就业人员工资总额,采矿业城镇单位就业人员工资总额,金融业城镇单位就业人员工资总额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
