,中型工业亏损企业亏损总额,中外合作经营工业亏损企业亏损总额,中外合资经营工业亏损企业亏损总额,其他外商投资工业亏损企业亏损总额,其他工业亏损企业亏损总额,其他有限责任公司工业亏损企业亏损总额,其他港澳台商投资工业亏损企业亏损总额,其他联营工业亏损企业亏损总额,内资工业亏损企业亏损总额,合作经营(港或澳、台资)工业亏损企业亏损总额,合资经营(港或澳、台资)工业亏损企业亏损总额,国有与集体联营工业亏损企业亏损总额,国有工业亏损企业亏损总额,国有独资公司工业亏损企业亏损总额,国有联营工业亏损企业亏损总额,外商投资工业亏损企业亏损总额,外商投资股份有限公司工业亏损企业亏损总额,外资工业亏损企业亏损总额,大型工业亏损企业亏损总额,小型工业亏损企业亏损总额,工业亏损企业亏损总额,有限责任公司工业亏损企业亏损总额,港、澳、台商投资工业亏损企业亏损总额,港澳台商投资股份有限公司工业亏损企业亏损总额,港澳台商独资经营工业亏损企业亏损总额,私营合伙工业亏损企业亏损总额,私营工业亏损企业亏损总额,私营有限责任公司工业亏损企业亏损总额,私营独资工业亏损企业亏损总额,私营股份有限公司工业亏损企业亏损总额,联营工业亏损企业亏损总额,股份合作工业亏损企业亏损总额,股份有限公司工业亏损企业亏损总额,轻工业亏损企业亏损总额,重工业亏损企业亏损总额,集体工业亏损企业亏损总额,集体联营工业亏损企业亏损总额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1431.3424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586.91696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1736.94474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.58336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,182.6874,19.91501,125.41975,0.0,6.29329,70.4281,0.0,1.07079,813.19785,17.43164,63.86753,3.035,467.2166,69.75768,4.56706,202.17929,7.25664,49.58789,479.98431,473.44381,1136.11552,140.18578,120.73838,6.44659,32.99262,1.7329,23.52975,10.99647,9.0269,1.77348,9.78285,15.14937,78.16999,404.14515,731.97037,72.87022,1.11
2001年,211.49802,11.0486,129.98291,0.0,0.73631,107.13039,0.0,0.97259,852.95887,21.04494,61.7644,3.14556,424.18021,85.35881,3.46185,225.71765,11.74485,72.94129,556.08529,443.43639,1211.0197,192.4892,132.34318,2.37906,47.15478,1.77904,33.45307,19.09441,9.42195,3.15767,8.65749,13.00759,121.57256,455.29947,755.72023,58.86244,1.07749
2002年,206.54336,7.90582,117.65471,0.0,0.43957,112.97557,0.0,1.02835,767.4853,13.31278,63.41411,2.45659,351.96612,98.25559,3.011,238.06564,6.4124,106.09271,498.46691,426.55525,1131.56552,211.23116,126.01458,4.2562,45.03149,1.63379,39.68211,23.75331,10.75968,3.53533,7.43531,12.31935,100.18201,421.80552,709.76,44.22967,0.93937
2003年,474.1899,9.58557,107.04495,0.0,1.59815,137.78536,0.0,1.62365,806.34729,13.35791,55.28186,2.05463,381.77034,83.05784,3.13232,223.42387,8.43671,98.35664,172.04211,511.53561,1157.76762,220.8432,127.99646,3.26192,56.09477,1.57322,51.98614,36.39495,10.39303,3.62494,7.83652,10.49772,99.05552,380.94674,776.82088,32.7597,1.02592
2004年,602.66,13.31,131.04,0.0,0.7,287.72,0.0,1.01,1179.93,12.21,85.38,1.35,423.6,97.84,4.93,359.2,4.87,209.98,292.63,852.63,1747.92,385.56,208.79,2.8,108.41,2.83,140.65,115.26,14.08,8.48,7.9,11.62,172.45,639.36,1108.56,37.44,0.62
2005年,711.98936,16.00922,188.57307,0.0,3.19457,269.73269,0.0,0.77842,1357.09162,13.67405,93.35449,2.18683,311.97008,93.00373,3.73621,434.54729,7.61251,222.35249,580.07279,739.74842,2031.81057,362.73642,240.17166,20.88539,112.25773,3.09276,159.98997,131.79814,15.95842,9.14065,7.36953,11.37315,470.30285,508.9906,1522.81997,30.15505,0.66807
2006年,709.68,16.77,201.87,0.0,3.04,274.42,0.0,0.75,1550.86,14.1,91.86,1.37,319.5,98.23,2.35,496.61,11.19,266.77,763.62,799.0,2272.3,372.65,224.83,5.72,113.15,4.14,176.57,143.63,18.61,10.19,5.2,8.09,626.71,526.17,1746.13,39.1,0.73
2007年,684.41162,16.23996,177.85007,0.0,3.17804,275.90591,0.0,0.37598,1228.37992,11.7819,83.38104,1.28863,276.22113,70.31145,2.24565,504.10552,23.43771,286.57778,499.80716,786.49108,1970.70986,346.21736,238.22442,9.45607,133.60541,3.63953,184.89931,153.10836,16.77876,11.37266,4.41709,7.26922,377.19127,529.54152,1441.16834,28.9865,0.50683
2008年,1642.14027,16.6738,436.7441,0.0,6.02244,889.63833,0.0,0.59287,3846.4695,30.47497,138.71747,1.24153,1008.88547,177.10215,11.59166,942.99852,23.84849,465.73213,2279.66815,1373.78355,5295.59197,1066.74048,506.12395,102.31463,234.61688,7.94672,364.291,306.67141,32.31763,17.35524,15.09282,16.93886,1338.47026,823.43252,4472.15945,30.02817,1.66676
2009年,1114.4858,10.51614,232.8002,0.0,6.03491,603.15086,0.0,0.39224,2198.81242,7.25154,110.24235,1.99587,620.55147,174.16774,5.38517,746.1408,45.93866,456.8858,963.01347,1203.53526,3281.03453,777.3186,336.08131,19.94663,198.64079,8.62983,384.99042,319.3022,36.7235,20.33489,8.14429,14.09605,362.5749,622.92182,2658.11271,25.10178,0.37101
2010年,898.90738,11.44469,145.54763,0.0,5.4622,565.60338,0.0,0.29573,1627.87138,6.44611,98.35092,1.22087,398.7178,86.03506,4.74088,467.18344,27.09897,283.09215,543.18954,917.07826,2359.17518,651.63844,264.12036,16.71245,142.61088,7.10393,282.25878,231.91814,26.99062,16.24609,6.43681,9.87566,256.63119,519.18479,1839.99039,16.8505,0.17933
