,中型工业企业流动负债合计,中外合作经营工业企业流动负债合计,中外合资经营工业企业流动负债合计,其他外商投资工业企业流动负债合计,其他工业企业流动负债合计,其他有限责任公司工业企业流动负债合计,其他港澳台商投资工业企业流动负债合计,其他联营工业企业流动负债合计,内资工业企业流动负债合计,合作经营(港或澳、台资)工业企业流动负债合计,合资经营(港或澳、台资)工业企业流动负债合计,国有与集体联营工业企业流动负债合计,国有工业企业流动负债合计,国有独资公司工业企业流动负债合计,国有联营工业企业流动负债合计,外商投资工业企业流动负债合计,外商投资股份有限公司工业企业流动负债合计,外资工业企业流动负债合计,大型工业企业流动负债合计,小型工业企业流动负债合计,工业企业流动负债合计,有限责任公司工业企业流动负债合计,港、澳、台商投资工业企业流动负债合计,港澳台商投资股份有限公司工业企业流动负债合计,港澳台商独资经营工业企业流动负债合计,私营合伙工业企业流动负债合计,私营工业企业流动负债合计,私营有限责任公司工业企业流动负债合计,私营独资工业企业流动负债合计,私营股份有限公司工业企业流动负债合计,联营工业企业流动负债合计,股份合作工业企业流动负债合计,股份有限公司工业企业流动负债合计,轻工业企业流动负债合计,重工业企业流动负债合计,集体工业企业流动负债合计,集体联营工业企业流动负债合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,5049.04,,,,,,,,,,,,,,,,,,8625.63,8955.21,22629.89,,,,,,,,,,,,,9087.64,13542.26,,
1994年,,,,,,,,,,,,,,,,,,,,,28625.44,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,8613.83,,,,,,,,,,,,,,,4770.19,,,22462.29,16696.9,47773.02,,4737.1,,,,,,,,,,1062.64,18498.65,29274.37,6297.19,
1999年,8086.12809,,,,,,,,,,,,,,,5348.30069,,,24184.84715,17799.21627,50070.19,,5059.05249,,,,,,,,,,3391.97077,18704.25007,31365.94144,5744.0553,
2000年,8006.88553,324.15279,4003.58256,,95.24267,4131.19529,,60.20209,41435.97336,549.55761,2995.6078,212.33847,18763.15586,4480.28199,136.7819,6171.55049,176.14195,1667.67319,25929.08186,19116.67291,53052.6403,8611.47728,5445.11645,318.2368,1581.71424,126.87544,1891.81754,993.01045,669.38568,102.54597,495.04952,1290.9978,5103.97134,19186.03461,33866.60569,5184.26135,85.72706
2001年,8683.32083,348.6127,4133.54582,,42.87307,6423.51225,,42.91429,43672.29773,565.03466,2889.11886,179.92098,16609.45742,5435.40163,159.849,6784.69787,218.15724,2084.38211,28919.50626,18535.89718,56138.72427,11858.91388,5681.72867,345.97298,1881.60217,141.30956,3037.26994,1895.99893,790.91858,209.04287,448.47316,1253.34823,6179.05241,20071.46198,36067.26229,4242.90962,65.78889
