,专用设备制造业国有控股工业企业工业销售产值(现价),交通运输设备制造业国有控股工业企业工业销售产值(现价),仪器仪表及文化办公用机械制造业国有控股工业企业工业销售产值(现价),其他矿采选业国有控股工业企业工业销售产值(现价),其它制造业国有控股工业企业工业销售产值(现价),化学原料及化学制品制造业国有控股工业企业工业销售产值(现价),化学纤维制造业国有控股工业企业工业销售产值(现价),医药制造业国有控股工业企业工业销售产值(现价),印刷业、记录媒介的复制国有控股工业企业工业销售产值(现价),国有控股工业企业工业销售产值(现价),塑料制品业国有控股工业企业工业销售产值(现价),家具制造业国有控股工业企业工业销售产值(现价),文教体育用品制造业国有控股工业企业工业销售产值(现价),普通机械制造业国有控股工业企业工业销售产值(现价),有色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),有色金属矿采选业国有控股工业企业工业销售产值(现价),服装及其他纤维制品制造业国有控股工业企业工业销售产值(现价),木材加工及竹、藤、棕、草制品业国有控股工业企业工业销售产值(现价),木材及竹材采运业国有控股工业企业工业销售产值(现价),橡胶制品业国有控股工业企业工业销售产值(现价),烟草加工业国有控股工业企业工业销售产值(现价),煤气生产和供应业国有控股工业企业工业销售产值(现价),煤炭采选业国有控股工业企业工业销售产值(现价),电力、蒸汽、热水的生产和供应业国有控股工业企业工业销售产值(现价),电子及通信设备制造业国有控股工业企业工业销售产值(现价),电气机械及器材制造业国有控股工业企业工业销售产值(现价),皮革、毛皮、羽绒及其制品业国有控股工业企业工业销售产值(现价),石油加工及炼焦业国有控股工业企业工业销售产值(现价),石油和天然气开采业国有控股工业企业工业销售产值(现价),纺织业国有控股工业企业工业销售产值(现价),自来水的生产和供应业国有控股工业企业工业销售产值(现价),造纸及纸制品业国有控股工业企业工业销售产值(现价),金属制品业国有控股工业企业工业销售产值(现价),非金属矿物制造业国有控股工业企业工业销售产值(现价),非金属矿采选业国有控股工业企业工业销售产值(现价),食品制造业国有控股工业企业工业销售产值(现价),食品加工业国有控股工业企业工业销售产值(现价),饮料制造业国有控股工业企业工业销售产值(现价),黑色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),黑色金属矿采选业国有控股工业企业工业销售产值(现价)
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
