,专用设备制造业国有控股工业企业管理费用,交通运输设备制造业国有控股工业企业管理费用,仪器仪表及文化办公用机械制造业国有控股工业企业管理费用,其他矿采选业国有控股工业企业管理费用,其它制造业国有控股工业企业管理费用,化学原料及化学制品制造业国有控股工业企业管理费用,化学纤维制造业国有控股工业企业管理费用,医药制造业国有控股工业企业管理费用,印刷业、记录媒介的复制国有控股工业企业管理费用,国有控股工业企业管理费用,塑料制品业国有控股工业企业管理费用,家具制造业国有控股工业企业管理费用,文教体育用品制造业国有控股工业企业管理费用,普通机械制造业国有控股工业企业管理费用,有色金属冶炼及压延加工业国有控股工业企业管理费用,有色金属矿采选业国有控股工业企业管理费用,服装及其他纤维制品制造业国有控股工业企业管理费用,木材加工及竹、藤、棕、草制品业国有控股工业企业管理费用,木材及竹材采运业国有控股工业企业管理费用,橡胶制品业国有控股工业企业管理费用,烟草加工业国有控股工业企业管理费用,煤气生产和供应业国有控股工业企业管理费用,煤炭采选业国有控股工业企业管理费用,电力、蒸汽、热水的生产和供应业国有控股工业企业管理费用,电子及通信设备制造业国有控股工业企业管理费用,电气机械及器材制造业国有控股工业企业管理费用,皮革、毛皮、羽绒及其制品业国有控股工业企业管理费用,石油加工及炼焦业国有控股工业企业管理费用,石油和天然气开采业国有控股工业企业管理费用,纺织业国有控股工业企业管理费用,自来水的生产和供应业国有控股工业企业管理费用,造纸及纸制品业国有控股工业企业管理费用,金属制品业国有控股工业企业管理费用,非金属矿物制造业国有控股工业企业管理费用,非金属矿采选业国有控股工业企业管理费用,食品制造业国有控股工业企业管理费用,食品加工业国有控股工业企业管理费用,饮料制造业国有控股工业企业管理费用,黑色金属冶炼及压延加工业国有控股工业企业管理费用,黑色金属矿采选业国有控股工业企业管理费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,116.8524,362.64522,33.93151,0.05775,5.63403,246.99809,42.60631,101.57069,36.06221,3304.49344,18.52631,2.32028,5.1721,156.56393,97.57389,33.99831,11.77532,10.40981,23.88019,20.48388,75.23744,19.70359,193.51804,196.57885,167.93934,95.70371,5.74147,162.71275,157.48938,125.30147,48.52938,35.25426,32.12681,127.51314,19.92086,32.51106,67.67445,66.71723,298.07424,9.08614
