,专用设备制造业国有控股工业企业流动负债合计,交通运输设备制造业国有控股工业企业流动负债合计,仪器仪表及文化、办公用机械制造业国有控股工业企业流动负债合计,其他采矿业国有控股工业企业流动负债合计,农副食品加工业国有控股工业企业流动负债合计,化学原料及化学制品制造业国有控股工业企业流动负债合计,化学纤维制造业国有控股工业企业流动负债合计,医药制造业国有控股工业企业流动负债合计,印刷业和记录媒介的复制国有控股工业企业流动负债合计,国有控股工业企业流动负债合计,塑料制品业国有控股工业企业流动负债合计,家具制造业国有控股工业企业流动负债合计,工艺品及其他制造业国有控股工业企业流动负债合计,废弃资源和废旧材料回收加工业国有控股工业企业流动负债合计,文教体育用品制造业国有控股工业企业流动负债合计,有色金属冶炼及压延加工业国有控股工业企业流动负债合计,有色金属矿采选业国有控股工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业流动负债合计,橡胶制品业国有控股工业企业流动负债合计,水的生产和供应业国有控股工业企业流动负债合计,烟草制品业国有控股工业企业流动负债合计,煤炭开采和洗选业国有控股工业企业流动负债合计,燃气生产和供应业国有控股工业企业流动负债合计,电力、热力的生产和供应业国有控股工业企业流动负债合计,电气机械及器材制造业国有控股工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业流动负债合计,石油加工、炼焦及核燃料加工业国有控股工业企业流动负债合计,石油和天然气开采业国有控股工业企业流动负债合计,纺织业国有控股工业企业流动负债合计,纺织服装、鞋、帽制造业国有控股工业企业流动负债合计,通信设备、计算机及其他电子设备制造国有控股工业企业流动负债合计,通用设备制造业国有控股工业企业流动负债合计,造纸及纸制品业国有控股工业企业流动负债合计,金属制品业国有控股工业企业流动负债合计,非金属矿物制品业国有控股工业企业流动负债合计,非金属矿采选业国有控股工业企业流动负债合计,食品制造业国有控股工业企业流动负债合计,饮料制造业国有控股工业企业流动负债合计,黑色金属冶炼及压延加工业国有控股工业企业流动负债合计,黑色金属矿采选业国有控股工业企业流动负债合计
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
