,专用设备制造业外商及港澳台商投资工业企业出口交货值,交通运输设备制造业外商及港澳台商投资工业企业出口交货值,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业出口交货值,其他矿采选业外商及港澳台商投资工业企业出口交货值,其它制造业外商及港澳台商投资工业企业出口交货值,化学原料及化学制品制造业外商及港澳台商投资工业企业出口交货值,化学纤维制造业外商及港澳台商投资工业企业出口交货值,医药制造业外商及港澳台商投资工业企业出口交货值,印刷业、记录媒介的复制外商及港澳台商投资工业企业出口交货值,塑料制品业外商及港澳台商投资工业企业出口交货值,外商及港澳台商投资工业企业出口交货值,家具制造业外商及港澳台商投资工业企业出口交货值,文教体育用品制造业外商及港澳台商投资工业企业出口交货值,普通机械制造业外商及港澳台商投资工业企业出口交货值,有色金属冶炼及压延加工业外商及港澳台商投资工业企业出口交货值,有色金属矿采选业外商及港澳台商投资工业企业出口交货值,服装及其他纤维制品制造业外商及港澳台商投资工业企业出口交货值,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业出口交货值,木材及竹材采运业外商及港澳台商投资工业企业出口交货值,橡胶制品业外商及港澳台商投资工业企业出口交货值,烟草加工业外商及港澳台商投资工业企业出口交货值,煤气生产和供应业外商及港澳台商投资工业企业出口交货值,煤炭采选业外商及港澳台商投资工业企业出口交货值,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业出口交货值,电子及通信设备制造业外商及港澳台商投资工业企业出口交货值,电气机械及器材制造业外商及港澳台商投资工业企业出口交货值,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业出口交货值,石油加工及炼焦业外商及港澳台商投资工业企业出口交货值,石油和天然气开采业外商及港澳台商投资工业企业出口交货值,纺织业外商及港澳台商投资工业企业出口交货值,自来水的生产和供应业外商及港澳台商投资工业企业出口交货值,造纸及纸制品业外商及港澳台商投资工业企业出口交货值,金属制品业外商及港澳台商投资工业企业出口交货值,非金属矿物制造业外商及港澳台商投资工业企业出口交货值,非金属矿采选业外商及港澳台商投资工业企业出口交货值,食品制造业外商及港澳台商投资工业企业出口交货值,食品加工业外商及港澳台商投资工业企业出口交货值,饮料制造业外商及港澳台商投资工业企业出口交货值,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业出口交货值,黑色金属矿采选业外商及港澳台商投资工业企业出口交货值
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,88.25667,229.63909,314.22092,,279.14946,230.54666,33.11517,35.9523,35.16505,384.42985,9015.69508,103.15215,290.18466,206.4487,57.2072,0.34583,780.27648,70.0111,,116.36169,0.12489,,2.31251,48.81533,2687.61266,683.28436,588.0955,54.23373,82.28512,558.45397,0.414,90.21662,477.94132,177.30292,6.94558,63.57883,201.19053,17.04427,21.37996,
