,专用设备制造业外商及港澳台商投资工业企业亏损企业单位数,交通运输设备制造业外商及港澳台商投资工业企业亏损企业单位数,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业亏损企业单位数,其他采矿业外商及港澳台商投资工业企业亏损企业单位数,农副食品加工业外商及港澳台商投资工业企业亏损企业单位数,化学原料及化学制品制造业外商及港澳台商投资工业企业亏损企业单位数,化学纤维制造业外商及港澳台商投资工业企业亏损企业单位数,医药制造业外商及港澳台商投资工业企业亏损企业单位数,印刷业和记录媒介的复制外商及港澳台商投资工业企业亏损企业单位数,塑料制品业外商及港澳台商投资工业企业亏损企业单位数,外商及港澳台商投资工业企业亏损企业单位数,家具制造业外商及港澳台商投资工业企业亏损企业单位数,工艺品及其他制造业外商及港澳台商投资工业企业亏损企业单位数,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业亏损企业单位数,文教体育用品制造业外商及港澳台商投资工业企业亏损企业单位数,有色金属冶炼及压延加工业外商及港澳台商投资工业企业亏损企业单位数,有色金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业亏损企业单位数,橡胶制品业外商及港澳台商投资工业企业亏损企业单位数,水的生产和供应业外商及港澳台商投资工业企业亏损企业单位数,烟草制品业外商及港澳台商投资工业企业亏损企业单位数,煤炭开采和洗选业外商及港澳台商投资工业企业亏损企业单位数,燃气生产和供应业外商及港澳台商投资工业企业亏损企业单位数,电力、热力的生产和供应业外商及港澳台商投资工业企业亏损企业单位数,电气机械及器材制造业外商及港澳台商投资工业企业亏损企业单位数,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业亏损企业单位数,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业亏损企业单位数,石油和天然气开采业外商及港澳台商投资工业企业亏损企业单位数,纺织业外商及港澳台商投资工业企业亏损企业单位数,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业亏损企业单位数,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业亏损企业单位数,通用设备制造业外商及港澳台商投资工业企业亏损企业单位数,造纸及纸制品业外商及港澳台商投资工业企业亏损企业单位数,金属制品业外商及港澳台商投资工业企业亏损企业单位数,非金属矿物制品业外商及港澳台商投资工业企业亏损企业单位数,非金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,食品制造业外商及港澳台商投资工业企业亏损企业单位数,饮料制造业外商及港澳台商投资工业企业亏损企业单位数,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业亏损企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业亏损企业单位数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,203.0,257.0,164.0,,457.0,430.0,44.0,179.0,134.0,618.0,9134.0,157.0,312.0,10.0,301.0,90.0,2.0,187.0,95.0,6.0,,5.0,24.0,74.0,548.0,380.0,22.0,,799.0,884.0,750.0,314.0,214.0,453.0,459.0,16.0,324.0,165.0,54.0,3.0
