,专用设备制造业规模以上工业企业利息支出,交通运输设备制造业规模以上工业企业利息支出,仪器仪表及文化办公用机械制造业规模以上工业企业利息支出,其他矿采选业规模以上工业企业利息支出,其它制造业规模以上工业企业利息支出,化学原料及化学制品制造业规模以上工业企业利息支出,化学纤维制造业规模以上工业企业利息支出,医药制造业规模以上工业企业利息支出,印刷业、记录媒介的复制规模以上工业企业利息支出,塑料制品业规模以上工业企业利息支出,家具制造业规模以上工业企业利息支出,文教体育用品制造业规模以上工业企业利息支出,普通机械制造业规模以上工业企业利息支出,有色金属冶炼及压延加工业规模以上工业企业利息支出,有色金属矿采选业规模以上工业企业利息支出,服装及其他纤维制品制造业规模以上工业企业利息支出,木材加工及竹、藤、棕、草制品业规模以上工业企业利息支出,木材及竹材采运业规模以上工业企业利息支出,橡胶制品业规模以上工业企业利息支出,烟草加工业规模以上工业企业利息支出,煤气生产和供应业规模以上工业企业利息支出,煤炭采选业规模以上工业企业利息支出,电力、蒸汽、热水的生产和供应业规模以上工业企业利息支出,电子及通信设备制造业规模以上工业企业利息支出,电气机械及器材制造业规模以上工业企业利息支出,皮革、毛皮、羽绒及其制品业规模以上工业企业利息支出,石油加工及炼焦业规模以上工业企业利息支出,石油和天然气开采业规模以上工业企业利息支出,纺织业规模以上工业企业利息支出,自来水的生产和供应业规模以上工业企业利息支出,规模以上工业企业利息支出,造纸及纸制品业规模以上工业企业利息支出,金属制品业规模以上工业企业利息支出,非金属矿物制造业规模以上工业企业利息支出,非金属矿采选业规模以上工业企业利息支出,食品制造业规模以上工业企业利息支出,食品加工业规模以上工业企业利息支出,饮料制造业规模以上工业企业利息支出,黑色金属冶炼及压延加工业规模以上工业企业利息支出,黑色金属矿采选业规模以上工业企业利息支出
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,45.08166,106.75439,11.04894,0.02165,9.1182,138.29598,32.12824,38.56412,11.02193,27.86125,5.17428,4.35505,69.73288,66.74391,9.78798,20.64028,12.56531,4.13924,19.07353,19.52235,3.10076,37.7305,308.36698,73.6813,75.93074,13.6864,64.05821,40.70407,106.99336,9.75787,1841.396,43.53405,39.04139,103.40139,6.93223,24.27773,56.91143,33.12645,132.38178,3.51046
