,内资建筑业企业总收入,国有建筑业企业总收入,外商投资建筑业企业总收入,外商独资建筑业企业总收入,建筑业企业总收入,港澳台商投资建筑业企业总收入,港澳台商独资建筑业企业总收入,集体建筑业企业总收入
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,3187.2217,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,4496.6173,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,5480.9299,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,7587.4491,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,8384.3437,0.0,0.0,0.0
1998年,9041.6423,4599.2916,60.0386,4.7398,9188.108,86.427,6.9938,3090.9516
1999年,10004.7912,4874.5331,56.1254,2.325,10147.6012,86.6847,5.1978,3101.1646
2000年,11352.3486,5096.4245,60.3707,2.1323,11506.8245,94.1052,6.2312,3040.3571
2001年,14394.5746,5548.5224,67.084,2.2638,14574.3354,112.6768,7.9124,2916.7335
2002年,17530.0232,5961.6444,90.0124,4.1309,17744.7777,124.7421,10.1887,2941.3338
2003年,21770.7103,6410.6255,135.0476,3.7512,22037.2689,131.511,3.8026,2874.777
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,32716.98882,8985.33073,293.66883,56.83038,33198.49127,187.83362,29.14847,2490.17176
2006年,39595.04221,9801.43565,317.01521,110.94713,40155.0152,242.9577,37.73986,2527.07801
2007年,48675.63925,11263.25481,462.48354,158.21857,49414.75466,276.63187,51.91935,2777.99767
2008年,59925.10461,13211.57048,448.25517,167.21301,60736.44292,363.08314,88.20731,2910.10656
2009年,74637.70662,16382.57126,464.33817,132.62354,75478.19811,376.15332,79.86023,3025.31167
2010年,92626.8768,19093.2815,506.5102,192.8375,93636.5784,503.1915,94.1147,3351.9478
2011年,110596.951,21941.14307,752.24087,238.0564,112002.78653,653.59466,151.24622,3853.25296
2012年,128948.17109,23656.71018,545.83926,268.56694,130182.93133,688.92098,104.54828,4391.21648
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,164167.94974,22443.93951,691.6328,359.2032,165675.24609,815.66355,110.38903,4003.38091
