,内资建筑业企业资产,国有建筑业企业资产,外商投资建筑业企业资产,外商独资建筑业企业资产,建筑业企业资产,港澳台商投资建筑业企业资产,港澳台商独资建筑业企业资产,集体建筑业企业资产
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,3719.514,,,
1994年,,,,,5404.6752,,,
1995年,,,,,6718.649,,,
1996年,,,,,9242.8516,,,
1997年,,,,,10592.7753,,,
1998年,11660.4203,6300.0,84.3141,6.3687,11870.4232,125.6888,11.2099,3700.0
1999年,12927.3357,6785.9933,84.2175,3.9557,13144.29303,132.7399,15.9546,3607.4977
2000年,14355.8293,7034.1056,79.9054,4.4783,14578.36857,142.6338,17.4697,3504.0183
2001年,16728.9507,7299.2735,83.7174,3.5239,16967.61427,154.9461,19.9136,3080.0485
2002年,20113.6379,7606.1185,101.6965,4.9017,20390.1075,174.7731,20.8185,3300.4503
2003年,23236.0971,7845.6638,139.4828,5.2043,23541.9044,166.3245,8.905,3041.2613
2004年,,,,,,,,
2005年,31019.24886,9402.44556,265.60257,54.0475,31485.73082,200.87939,23.57272,2456.19215
2006年,35472.79838,9607.28229,287.71889,105.32132,36008.7811,248.26383,33.52965,2330.82066
2007年,42394.72412,11344.00064,370.15852,124.25209,43029.27362,264.39098,56.51577,2335.05132
2008年,50979.14104,12477.59509,408.13809,169.14481,51711.92963,324.6505,72.99581,2284.91774
2009年,61347.77575,14302.9064,428.20046,157.12628,62164.38775,388.41154,76.38175,2310.8149
2010年,74275.5868,15832.311,460.6205,201.6203,75221.766,485.5586,79.1661,2428.1783
2011年,92483.54508,19153.60884,733.2292,287.71101,93859.85583,643.08155,175.2387,2766.06949
2012年,110414.35353,22437.68434,590.89549,345.65362,111692.15194,686.90292,116.37569,3073.44726
2013年,,,,,,,,
2014年,146560.16434,24630.99029,825.91809,512.3768,148372.78725,986.70482,197.96109,2603.67156
