,一级专业承包建筑业企业利润总额,三级及以下专业承包建筑业企业利润总额,专业承包建筑业企业利润总额,二级专业承包建筑业企业利润总额
1978年,,,,
1979年,,,,
1980年,,,,
1981年,,,,
1982年,,,,
1983年,,,,
1984年,,,,
1985年,,,,
1986年,,,,
1987年,,,,
1988年,,,,
1989年,,,,
1990年,,,,
1991年,,,,
1992年,,,,
1993年,,,,
1994年,,,,
1995年,,,,
1996年,,,,
1997年,,,,
1998年,,,,
1999年,,,,
2000年,,,,
2001年,,,,
2002年,,,,
2003年,,,,
2004年,,,,
2005年,537449.2,815715.5,1957145.1,603980.4
2006年,672954.9,930201.1,2310109.4,706953.4
2007年,897507.8,1053268.1,2821976.0,871200.1
2008年,1175856.8,1615594.9,3985411.4,1193959.7
2009年,1314431.8,1883871.4,4497215.6,1298912.4
2010年,1878683.0,2165465.0,5482209.0,1438061.0
2011年,2394586.9,2246909.6,6253581.7,1612085.2
2012年,2967068.5,2239522.2,6973816.6,1767225.9
2013年,,,,
2014年,,,,
