,专业店商品销售额,专卖店商品销售额,仓储会员店商品销售额,便利店商品销售额,其他业态连锁零售企业商品销售额,加油站商品销售额,厂家直销中心商品销售额,大型超市商品销售额,家居建材商店商品销售额,折扣店商品销售额,百货店商品销售额,超市商品销售额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,657.4772,85.5228,0.0,0.0,63.2535,0.0,0.0,0.0,0.0,0.0,484.6828,1318.186
2003年,1581.4125,69.0273,0.0,0.0,2.5792,0.0,0.0,0.0,0.0,0.0,596.5183,1925.555
2004年,2206.6942,79.6661,0.0,0.0,1.4007,0.0,0.0,0.0,0.0,0.0,744.7315,2409.9401
2005年,7782.0981,130.8653,12.2794,183.0868,0.0,5336.2177,0.0,0.0,90.8961,0.0,1275.2761,3113.2772
2006年,8867.6164,489.5371,24.8113,223.0822,0.0,4662.0548,0.0,0.0,57.4821,0.0,1481.8441,3443.3463
2007年,10106.52729,884.50847,138.97024,231.70341,34.74841,6830.63103,11.50511,1871.66472,79.74583,27.26143,1625.36831,1919.47012
2008年,12315.32431,1112.71282,162.72204,276.04182,40.01796,8473.4088,13.90144,2233.81886,84.70279,34.75656,1942.98534,2249.54351
2009年,13373.9413,697.3114,142.525,269.8301,143.0284,8996.2141,1.5222,2443.5485,63.3494,37.1692,2498.2548,2569.521
2010年,17233.2,1072.9,171.8,246.6,207.3,11822.6,3.5,2919.1,56.4,36.1,2671.5,2766.9
2011年,22919.27523,1031.00793,795.68419,225.97943,203.95445,15742.60629,2.9229,2594.54002,64.66599,47.62511,3226.81545,3398.22198
2012年,19628.96408,2260.40216,216.29786,263.92311,2617.52789,12413.55334,3.80536,4221.94692,47.28784,34.25736,3251.77818,2915.88587
2013年,22492.8017,1582.7,234.6387,311.2975,1962.4175,14791.7035,11.1326,4734.1516,51.6407,32.9228,3703.9725,2889.2093
2014年,23345.7794,1400.3104,240.9243,345.9696,475.6747,16786.3024,16.435,4647.203,50.9023,29.5499,3806.1046,2981.7546
