,专业店门店总数,专卖店门店总数,仓储会员店门店总数,便利店门店总数,其他业态连锁零售企业门店总数,加油站门店总数,厂家直销中心门店总数,大型超市门店总数,家居建材商店门店总数,折扣店门店总数,百货店门店总数,超市门店总数
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,12177.0,2901.0,,,513.0,,,,,,1550.0,10281.0
2003年,22132.0,3648.0,,,92.0,,,,,,2129.0,11717.0
2004年,25867.0,4493.0,,,66.0,,,,,,2637.0,14073.0
2005年,67471.0,5195.0,78.0,10043.0,,30957.0,,,120.0,,3853.0,18924.0
2006年,63992.0,18005.0,48.0,13817.0,,20551.0,,,82.0,,5353.0,21066.0
2007年,84943.0,13047.0,324.0,13912.0,550.0,26390.0,46.0,7332.0,93.0,628.0,3674.0,27145.0
2008年,93656.0,14651.0,331.0,16196.0,601.0,27361.0,50.0,8072.0,116.0,784.0,3805.0,30240.0
2009年,82704.0,24075.0,179.0,15779.0,10548.0,29345.0,410.0,2493.0,102.0,859.0,5304.0,33224.0
2010年,84678.0,27641.0,272.0,14202.0,5745.0,31040.0,66.0,6322.0,108.0,701.0,4239.0,32818.0
2011年,95680.0,31768.0,265.0,13609.0,7397.0,31845.0,74.0,2542.0,116.0,948.0,4826.0,38554.0
2012年,89227.0,28939.0,351.0,13277.0,13241.0,25300.0,14.0,11947.0,49.0,432.0,4377.0,31016.0
2013年,104054.0,26113.0,107.0,14680.0,10705.0,31073.0,232.0,9380.0,62.0,408.0,4514.0,33835.0
2014年,108809.0,22854.0,108.0,16832.0,9685.0,34985.0,309.0,9481.0,69.0,377.0,4689.0,33202.0
