,中外合作经营企业批发业企业期末商品库存额,中外合资经营企业批发业企业期末商品库存额,其他企业批发业企业期末商品库存额,其他外商投资企业批发业企业期末商品库存额,其他有限责任公司批发业企业期末商品库存额,其他港澳台商投资企业批发业企业期末商品库存额,其他联营企业批发业企业期末商品库存额,内资企业批发业企业期末商品库存额,国有与集体联营企业批发业企业期末商品库存额,国有企业批发业企业期末商品库存额,国有独资公司批发业企业期末商品库存额,国有联营企业批发业企业期末商品库存额,外商投资企业批发业企业期末商品库存额,外商投资股份有限公司批发业企业期末商品库存额,外资企业批发业企业期末商品库存额,批发业企业期末商品库存额,有限责任公司批发业企业期末商品库存额,港澳台商合作经营企业批发业企业期末商品库存额,港澳台商合资经营企业批发业企业期末商品库存额,港澳台商投资企业批发业企业期末商品库存额,港澳台商投资股份有限公司批发业企业期末商品库存额,港澳台商独资经营企业批发业企业期末商品库存额,私营企业批发业企业期末商品库存额,私营合伙企业批发业企业期末商品库存额,私营有限责任公司批发业企业期末商品库存额,私营独资企业批发业企业期末商品库存额,私营股份有限公司批发业企业期末商品库存额,联营企业批发业企业期末商品库存额,股份合作企业批发业企业期末商品库存额,股份有限公司批发业企业期末商品库存额,集体企业批发业企业期末商品库存额,集体联营企业批发业企业期末商品库存额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,2790.56,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,2831.1,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,2843.87,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,2675.64,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,2864.96998,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,5274.8,,,,,,,,,,,,,,,,
2006年,286.58256,1.58716,15.27507,,1265.90981,357.80728,4.14251,5189.49875,5.20659,1675.67315,318.68365,13.66411,60.74486,,8.8927,5632.6,1584.59346,2.5718,13.06833,85.30253,1.88717,67.77523,1041.06244,6.39212,962.6477,12.82667,59.19595,24.27144,31.53905,642.02424,175.0599,1.25823
2007年,1.11202,103.78642,41.94988,,1454.03497,,12.09401,6046.57173,9.35146,1903.66631,425.97531,16.27753,475.03634,59.29778,310.84012,6649.9,1880.01028,1.83998,18.36974,128.31348,3.91435,104.18941,1316.20805,8.07349,1187.57941,43.47116,77.08399,38.56491,38.30675,629.01825,198.8473,0.84191
