,中外合作经营零售业企业主营业务利润,中外合资经营零售业企业主营业务利润,其他外商投资零售业企业主营业务利润,其他有限责任公司零售业企业主营业务利润,其他港澳台商投资零售业企业主营业务利润,其他联营零售业企业主营业务利润,其他零售业企业主营业务利润,内资零售业企业主营业务利润,国有与集体联营零售业企业主营业务利润,国有独资公司零售业企业主营业务利润,国有联营零售业企业主营业务利润,国有零售业企业主营业务利润,外商投资股份有限公司零售业企业主营业务利润,外商投资零售业企业主营业务利润,外资零售业企业主营业务利润,有限责任公司零售业企业主营业务利润,港澳台商合作经营零售业企业主营业务利润,港澳台商合资经营零售业企业主营业务利润,港澳台商投资股份有限公司零售业企业主营业务利润,港澳台商投资零售业企业主营业务利润,港澳台商独资经营零售业企业主营业务利润,私营合伙零售业企业主营业务利润,私营有限责任公司零售业企业主营业务利润,私营独资零售业企业主营业务利润,私营股份有限公司零售业企业主营业务利润,私营零售业企业主营业务利润,联营零售业企业主营业务利润,股份合作零售业企业主营业务利润,股份有限公司零售业企业主营业务利润,集体联营零售业企业主营业务利润,集体零售业企业主营业务利润,零售业企业主营业务利润
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,3.1672,5.2794,,20.6578,,1.1134,0.0141,223.5956,1.6018,3.2516,3.1044,86.9409,,9.067,0.6204,23.9094,4.1272,6.0125,-0.3823,9.7784,0.021,0.0487,3.1247,0.3554,0.6482,4.1771,6.2437,6.5783,74.5547,0.424,21.1775,242.4409
2000年,5.4472,8.1861,,34.4675,,0.8432,-0.0035,238.1565,0.7296,4.4377,2.5374,89.5836,0.0088,13.6454,0.0033,38.9051,2.853,6.7622,3.608,13.6901,0.4669,-0.0405,5.7159,1.0214,0.6604,7.3573,4.7155,5.9677,75.4021,0.6054,16.2288,265.492
2001年,1.953,13.0958,,46.5598,,0.8393,0.422,256.9581,1.2926,4.035,1.843,76.1167,,14.908,-0.1409,50.5947,1.8625,8.7683,-0.3083,10.8003,0.4779,0.3846,11.4733,0.8484,1.5151,14.2213,4.5515,7.292,89.0636,0.5766,14.6963,282.6664
2002年,2.4747,9.0119,,62.3906,,0.612,0.3,296.5982,1.6702,2.6993,6.3107,73.9254,0.5248,10.5217,-1.4898,65.0899,2.9768,8.5834,-0.0088,12.1793,0.6279,0.2175,22.5271,1.551,2.1372,26.4328,8.4436,7.3621,100.4048,-0.1493,14.6396,319.2992
2003年,6.1089,8.71241,,71.09458,,0.39897,0.33594,319.43568,1.63672,6.89049,1.10447,72.2287,0.64139,10.65279,-4.80991,77.98507,3.80665,9.91017,,15.8102,2.07372,1.1954,27.16679,2.76568,2.19162,33.31949,3.21737,7.76018,108.94328,0.07721,15.64565,345.89868
