,五金、家具及室内装修材料专门零售年末从业人数,体育用品零售年末从业人数,医药及医疗器材专门零售年末从业人数,图书零售年末从业人数,家用电器及电子产品专门零售年末从业人数,家用电器零售年末从业人数,文化、体育用品及器材专门零售年末从业人数,无店铺及其他零售年末从业人数,服装零售年末从业人数,机动车燃料零售年末从业人数,汽车、摩托车、燃料及零配件专门零售年末从业人数,汽车零售年末从业人数,百货零售年末从业人数,纺织、服装及日用品专门零售年末从业人数,综合零售年末从业人数,药品零售年末从业人数,计算机、软件及辅助设备零售年末从业人数,超级市场零售年末从业人数,通信设备零售年末从业人数,邮购及电子销售年末从业人数,食品、饮料及烟草制品专门零售年末从业人数
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,
2008年,90438.0,7057.0,282806.0,110532.0,354560.0,238296.0,170135.0,72293.0,178312.0,228811.0,715029.0,452125.0,995825.0,270582.0,2138999.0,272617.0,57255.0,1003196.0,51131.0,7590.0,125826.0
2009年,103513.0,8073.0,288837.0,116532.0,344269.0,231453.0,176411.0,71519.0,168799.0,227081.0,783686.0,519738.0,991153.0,260927.0,2182122.0,277574.0,56640.0,1064868.0,46627.0,8894.0,155779.0
2010年,132789.0,8842.0,333199.0,118234.0,418410.0,291925.0,189277.0,91725.0,201759.0,259203.0,969237.0,667062.0,1057098.0,304847.0,2402072.0,322320.0,64502.0,1208456.0,52948.0,15310.0,171318.0
2011年,130195.0,12266.0,345262.0,103342.0,475146.0,331443.0,189812.0,113061.0,231558.0,274012.0,1140085.0,818953.0,1023497.0,346139.0,2332920.0,332919.0,74856.0,1178236.0,59075.0,26615.0,203098.0
2012年,150572.0,14295.0,376202.0,119291.0,460261.0,230333.0,214162.0,138636.0,289500.0,290826.0,1306382.0,966081.0,1055734.0,434724.0,2432614.0,360241.0,81541.0,1250052.0,64860.0,45461.0,238637.0
2013年,198470.0,16729.0,430423.0,123052.0,483502.0,212845.0,251432.0,165436.0,337336.0,328674.0,1534216.0,1149350.0,1178606.0,517542.0,2660357.0,408138.0,83643.0,1340797.0,71355.0,49833.0,312066.0
2014年,209713.0,14539.0,467017.0,119777.0,497147.0,213606.0,251244.0,196426.0,356637.0,331668.0,1632092.0,1243087.0,1177302.0,555364.0,2671293.0,442507.0,84582.0,1354891.0,74437.0,78885.0,338582.0
