,五金、家具及室内装修材料专门零售法人企业数,体育用品零售法人企业数,医药及医疗器材专门零售法人企业数,图书零售法人企业数,家用电器及电子产品专门零售法人企业数,家用电器零售法人企业数,文化、体育用品及器材专门零售法人企业数,无店铺及其他零售法人企业数,服装零售法人企业数,机动车燃料零售法人企业数,汽车、摩托车、燃料及零配件专门零售法人企业数,汽车零售法人企业数,百货零售法人企业数,纺织、服装及日用品专门零售法人企业数,综合零售法人企业数,药品零售法人企业数,计算机、软件及辅助设备零售法人企业数,超级市场零售法人企业数,通信设备零售法人企业数,邮购及电子销售法人企业数,食品、饮料及烟草制品专门零售法人企业数
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,
2008年,1921.0,83.0,2411.0,1480.0,5355.0,2470.0,2627.0,1970.0,1366.0,3287.0,13791.0,9082.0,3972.0,2487.0,9198.0,2139.0,1794.0,3761.0,731.0,54.0,1743.0
2009年,1964.0,79.0,2484.0,1528.0,5536.0,2708.0,2656.0,1891.0,1362.0,3317.0,14531.0,9712.0,4077.0,2481.0,9214.0,2186.0,1800.0,3766.0,668.0,58.0,1858.0
2010年,2712.0,83.0,3039.0,1553.0,7068.0,3882.0,2887.0,2356.0,1587.0,4083.0,18255.0,12262.0,4708.0,2932.0,10418.0,2634.0,2079.0,4139.0,732.0,73.0,2639.0
2011年,3132.0,96.0,3352.0,1487.0,8189.0,4731.0,2943.0,2707.0,1741.0,4528.0,21131.0,14479.0,4759.0,3232.0,10559.0,2881.0,2312.0,4340.0,752.0,106.0,3226.0
2012年,3660.0,117.0,3762.0,1437.0,9127.0,4012.0,3155.0,2942.0,1994.0,4815.0,24396.0,17365.0,4933.0,3779.0,10726.0,3165.0,2545.0,4482.0,829.0,148.0,4374.0
2013年,5301.0,147.0,4391.0,1439.0,10609.0,4146.0,3914.0,3551.0,2592.0,5831.0,28717.0,20345.0,5838.0,5046.0,12180.0,3573.0,2824.0,4881.0,946.0,253.0,6657.0
2014年,5855.0,160.0,4770.0,1469.0,11249.0,4249.0,4202.0,3996.0,2761.0,6404.0,31782.0,22802.0,6232.0,5415.0,12859.0,3827.0,2945.0,5165.0,1087.0,555.0,7524.0
