,中外合作经营零售业企业流动资产合计,中外合资经营零售业企业流动资产合计,其他外商投资零售业企业流动资产合计,其他有限责任公司零售业企业流动资产合计,其他港澳台商投资零售业企业流动资产合计,其他联营零售业企业流动资产合计,其他零售业企业流动资产合计,内资零售业企业流动资产合计,国有与集体联营零售业企业流动资产合计,国有独资公司零售业企业流动资产合计,国有联营零售业企业流动资产合计,国有零售业企业流动资产合计,外商投资股份有限公司零售业企业流动资产合计,外商投资零售业企业流动资产合计,外资零售业企业流动资产合计,有限责任公司零售业企业流动资产合计,港澳台商合作经营零售业企业流动资产合计,港澳台商合资经营零售业企业流动资产合计,港澳台商投资股份有限公司零售业企业流动资产合计,港澳台商投资零售业企业流动资产合计,港澳台商独资经营零售业企业流动资产合计,私营合伙零售业企业流动资产合计,私营有限责任公司零售业企业流动资产合计,私营独资零售业企业流动资产合计,私营股份有限公司零售业企业流动资产合计,私营零售业企业流动资产合计,联营零售业企业流动资产合计,股份合作零售业企业流动资产合计,股份有限公司零售业企业流动资产合计,集体联营零售业企业流动资产合计,集体零售业企业流动资产合计,零售业流动资产合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,19.3165,29.6516,,153.1575,,6.2542,0.7318,1669.2523,11.4199,20.7974,11.5969,737.9272,,49.5908,0.6227,173.9549,16.8173,27.0773,3.502,47.9021,0.5055,0.7538,29.6997,7.067,4.1912,41.7116,34.054,46.7586,408.6308,4.783,225.4834,1766.7
2000年,24.0632,34.5396,,219.6857,,6.2397,0.5283,1768.7637,7.8197,35.8925,9.026,728.2678,0.1269,58.7335,0.004,255.5782,24.6424,29.7663,13.4269,70.6951,2.8595,1.4832,57.6822,13.4133,6.5654,79.1441,28.7996,46.9469,434.9693,5.7142,194.5296,1898.1924
2001年,30.9033,48.5556,,349.3054,,8.0334,2.1677,1868.2453,10.878,30.1788,10.1118,602.5443,,84.3705,4.9116,379.4842,12.7343,34.2124,5.7122,54.371,1.7121,2.4117,144.1754,10.8323,14.0463,171.4657,30.4371,51.4869,485.306,1.4139,145.3534,2006.9868
2002年,48.7512,57.0348,,563.0371,,7.5507,2.741,2202.1151,16.3975,28.467,15.1247,538.8389,0.9574,117.7431,10.9998,591.5041,10.8981,45.037,8.3796,67.9811,3.6663,3.9559,252.3301,15.1754,22.9753,294.4367,46.824,54.2547,525.0381,7.751,148.4776,2387.8393
2003年,23.09037,95.619,,863.1524,,7.59283,4.94479,2807.07771,15.59267,51.17005,12.85254,499.40662,1.03067,163.38975,43.64971,914.32245,18.74788,55.03367,0.10379,85.32582,11.44048,10.85869,459.36282,33.40502,32.75092,536.37745,37.09668,65.03782,611.24656,1.05864,138.64534,3055.49379
