,中外合作经营零售业企业资产总计,中外合资经营零售业企业资产总计,其他外商投资零售业企业资产总计,其他有限责任公司零售业企业资产总计,其他港澳台商投资零售业企业资产总计,其他联营零售业企业资产总计,其他零售业企业资产总计,内资零售业企业资产总计,国有与集体联营零售业企业资产总计,国有独资公司零售业企业资产总计,国有联营零售业企业资产总计,国有零售业企业资产总计,外商投资股份有限公司零售业企业资产总计,外商投资零售业企业资产总计,外资零售业企业资产总计,有限责任公司零售业企业资产总计,港澳台商合作经营零售业企业资产总计,港澳台商合资经营零售业企业资产总计,港澳台商投资股份有限公司零售业企业资产总计,港澳台商投资零售业企业资产总计,港澳台商独资经营零售业企业资产总计,私营合伙零售业企业资产总计,私营有限责任公司零售业企业资产总计,私营独资零售业企业资产总计,私营股份有限公司零售业企业资产总计,私营零售业企业资产总计,联营零售业企业资产总计,股份合作零售业企业资产总计,股份有限公司零售业企业资产总计,集体联营零售业企业资产总计,集体零售业企业资产总计,零售业资产总计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,49.7573,114.1903,,287.411,,13.2821,1.0032,3441.4403,19.4554,40.6712,29.6989,1457.878,,169.3452,5.3976,328.0822,39.3027,84.5042,9.5113,133.9695,0.6513,0.9582,44.6669,9.3108,7.477,62.4128,71.8146,93.3014,1011.9019,9.3783,415.0462,3744.8
2000年,62.2233,116.8624,,421.487,,14.026,1.1967,3589.2269,12.5747,63.9423,16.1378,1400.5779,0.2908,179.4004,0.02,485.4293,47.2689,93.7188,35.6074,181.8746,5.2795,2.6864,94.221,17.0977,10.6741,124.6791,53.8939,92.2985,1077.2607,11.1555,353.8907,3950.5019
2001年,70.5463,138.5633,,623.351,,17.7902,2.8448,3729.5623,16.7709,65.563,20.1213,1187.9205,,217.1854,8.0757,688.9139,33.4164,106.4119,8.6158,150.5653,2.1211,3.4516,229.045,18.6006,22.7537,273.8509,57.0258,100.025,1153.4297,2.3435,265.5518,4097.313
2002年,94.3261,136.912,,934.8229,,16.0569,3.6595,4222.317,22.9362,63.804,46.8563,1061.2727,3.3987,255.5911,20.9544,998.6269,24.2815,116.6202,12.262,157.7751,4.6114,5.0123,368.2303,23.0356,36.2887,432.5669,94.6192,108.0138,1266.407,8.7699,257.151,4635.6832
2003年,47.21768,191.05154,,1390.7273,,14.19005,6.28859,5061.01479,24.95285,93.35663,21.18894,1018.37313,3.55363,315.41718,73.59433,1484.08393,34.78163,116.44045,0.10446,176.85604,25.5295,14.77378,616.40037,49.42169,47.67869,728.27453,63.03865,110.34281,1407.01041,2.70681,243.60274,5552.97003
