,其他部门办初中在校学生数,农村其他部门办初中在校学生数,农村初中在校学生数,农村地方企业办初中在校学生数,农村教育部门办初中在校学生数,农村民办初中在校学生数,初中在校学生数,县镇其他部门办初中在校学生数,县镇初中在校学生数,县镇地方企业办初中在校学生数,县镇教育部门办初中在校学生数,县镇民办初中在校学生数,地方企业办初中在校学生数,城市其他部门办初中在校学生数,城市初中在校学生数,城市地方企业办初中在校学生数,城市教育部门办初中在校学生数,城市民办初中在校学生数,教育部门办初中在校学生数,民办初中在校学生数
1978年,,,,,,,4995.2,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,4551.8,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,4010.1,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,3916.58,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,4727.49,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,6256.3,,,,,,,,,,,,,
2001年,,,,,,,6514.38,,,,,,,,,,,,,
2002年,,,,,,,6687.43,,,,,,,,,,,,,
2003年,,,,,,,6690.8087,,,,,,,,,,,,,
2004年,,,,,,,6527.5134,,,,,,,,,,,,,
2005年,,,,,,,6214.9442,,,,,,,,,,,,,
2006年,,,,,,,5957.9699,,,,,,,,,,,,,
2007年,,,,,,,5736.1947,,,,,,,,,,,,,
2008年,,,,,,,5584.971,,,,,,,,,,,,,
2009年,,,,,,,5440.9415,,,,,,,,,,,,,
2010年,,,,,,,5279.33,,,,,,,,,,,,,
2011年,33.5626,2.7861,1162.9815,0.1557,1116.1326,43.9071,5066.8024,18.6933,2467.4229,1.8216,2266.5947,180.3133,3.0073,12.0832,1436.398,1.03,1204.9436,218.3412,4587.6709,442.5616
2012年,33.7088,2.8927,974.0993,0.0412,934.3622,36.8032,4763.06,20.8672,2347.9363,1.0249,2140.8017,185.2425,1.8332,9.9489,1441.0251,0.7671,1200.9457,229.3634,4276.1096,451.4091
2013年,26.9398,2.1394,814.5335,0.0216,776.0705,36.302,4440.1248,15.1969,2195.571,0.869,1992.6269,186.8782,1.7069,9.6035,1430.0203,0.8163,1180.4325,239.168,3949.1299,462.3482
2014年,,,,,,,4384.6297,,,,,,,,,,,,,
