,专科院校生师比,初中生师比,小学生师比,普通中专生师比,普通高中生师比,普通高校生师比,本科院校生师比,职业高中生师比
1978年,0.0,20.46,28.0,8.9,21.0,4.2,0.0,0.0
1979年,0.0,19.14,27.24,10.6,19.4,4.3,0.0,0.0
1980年,0.0,18.53,26.6,9.71,17.0,4.6,0.0,0.0
1981年,0.0,17.64,25.69,7.86,14.5,5.12,0.0,0.0
1982年,0.0,17.55,25.38,7.0,13.8,4.02,0.0,0.0
1983年,0.0,17.6,25.03,7.33,13.95,3.98,0.0,0.0
1984年,0.0,18.43,25.25,8.22,15.03,4.43,0.0,0.0
1985年,0.0,18.36,24.9,9.03,15.06,5.0,0.0,0.0
1986年,0.0,18.39,24.3,9.1,14.93,5.1,0.0,0.0
1987年,0.0,17.94,23.6,8.92,14.22,5.1,0.0,0.0
1988年,0.0,16.71,22.8,9.12,13.39,5.3,0.0,0.0
1989年,0.0,15.81,22.3,9.51,12.93,5.2,0.0,0.0
1990年,0.0,15.66,21.9,9.59,12.76,5.2,0.0,0.0
1991年,0.0,15.74,22.0,9.81,12.62,5.2,0.0,0.0
1992年,0.0,15.85,22.1,10.25,12.24,5.6,0.0,0.0
1993年,0.0,15.65,22.37,11.8,14.96,8.0,0.0,0.0
1994年,0.0,16.07,22.85,12.95,12.16,9.25,0.0,0.0
1995年,0.0,16.73,23.3,14.48,12.95,9.83,0.0,0.0
1996年,0.0,17.18,23.73,15.84,13.45,10.36,0.0,0.0
1997年,0.0,17.33,24.16,16.86,14.05,10.87,0.0,0.0
1998年,0.0,17.56,23.98,17.85,14.61,11.62,0.0,0.0
1999年,0.0,18.17,23.12,0.0,15.16,13.37,0.0,0.0
2000年,0.0,19.03,22.2057744484,0.0,15.87,16.3,0.0,0.0
2001年,0.0,19.24,21.64,0.0,16.73,18.22,0.0,0.0
2002年,0.0,19.25,21.04,0.0,17.8,19.0,0.0,0.0
2003年,0.0,19.13,20.5,0.0,18.35,17.0,0.0,0.0
2004年,13.15,18.6475678653,19.9795795241,28.13,18.6479006552,16.22,17.44,19.1
2005年,14.78,17.8,19.43,31.02,18.54,16.85,17.75,20.62
2006年,18.26,17.1450588543,19.1703361594,31.67,18.1266531717,17.93,17.61,22.16
2007年,17.2,16.5165648093,18.822065249,31.393892535,17.4789952768,17.28,17.31,23.4966791939
2008年,17.27,16.0693896247,18.3771364963,31.2652313295,16.7823030729,17.23,17.21,23.4706506133
2009年,17.35,15.4653134622,17.8779814561,27.8175561024,16.3011927171,17.27,17.23,23.6462391644
2010年,17.21,14.975306047,17.6972463149,26.1017832145,15.988306501,17.33,17.38,23.6611428367
2011年,17.28,14.3758773188,17.7102829133,31.5322512703,15.7680946334,17.4156253034,17.4815129268,21.5858206117
2012年,17.33,13.59,17.36,0.0,15.47,17.52,17.98,0.0
2013年,0.0,12.7553909403,16.7612272152,0.0,14.9531598372,17.53,0.0,0.0
2014年,0.0,12.5690631602,16.7753333123,0.0,14.4371943225,17.6842236446,0.0,0.0
