,初中升学率,学龄儿童净入学率,小学升学率,高中升学率
1978年,40.9,95.5,87.7,0.0
1979年,40.0,93.0,82.8,0.0
1980年,45.9,93.0,75.9,0.0
1981年,31.5,93.0,68.3,0.0
1982年,32.3,93.2,66.2,0.0
1983年,35.5,94.0,67.3,0.0
1984年,38.4,95.3,66.2,0.0
1985年,41.7,95.9,68.4,0.0
1986年,40.6,96.4,69.5,0.0
1987年,39.1,97.2,69.1,0.0
1988年,38.0,97.2,70.4,0.0
1989年,38.3,97.4,71.5,24.6
1990年,40.6,97.8,74.6,27.3
1991年,42.6,97.9,77.7,28.7
1992年,43.4,97.2,79.7,34.9
1993年,44.1,97.7,81.8,43.3
1994年,47.8,98.4,86.6,46.7
1995年,48.3,98.5,90.8,49.9
1996年,48.8,98.8,92.6,51.0
1997年,57.5,98.9,93.7,48.6
1998年,50.7,98.9,94.3,46.1
1999年,50.0,99.1,94.4,63.8
2000年,51.2,99.1,94.9,73.2
2001年,52.95,99.05,95.45,78.7996722053
2002年,58.3,98.6,97.0,83.5
2003年,59.6,98.66,97.8941972252,83.4
2004年,63.8,98.95,98.11,82.54
2005年,69.7,99.15,98.4,76.3
2006年,75.68,99.27,100.0,75.1
2007年,80.48,99.49,99.9,70.3
2008年,82.1,99.54,99.71,72.68
2009年,85.6,99.4,99.1,77.6
2010年,87.5,99.7,98.7,83.3
2011年,88.9,99.79,98.3,86.5
2012年,88.4,99.85,98.3,87.0
2013年,91.2,99.71,98.3,87.6
2014年,95.1,99.81,98.0,90.2
