,中学学杂费,中等专业学校学杂费,中等职业学校学杂费,其它类别学校学杂费,农村普通初中学杂费,农村普通小学学杂费,各类学校教育经费学杂费,小学学杂费,幼儿园学杂费,成人中专学校学杂费,成人中学学杂费,成人小学学杂费,成人高等学校学杂费,技工学校学杂费,教育事业单位学杂费,教育行政单位学杂费,普通中学学杂费,普通初中学杂费,普通小学学杂费,普通高中学杂费,普通高等学校学杂费,特殊教育学校学杂费,职业高中学杂费,高等学校学杂费
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,323475.6,,,,,,,,,,,,,,,,,
1992年,,,,,,,439319.3,,,,,,,,,,,,,,,,,
1993年,,,,,,,871476.9,,,,,,,,,,,,,,,,,
1994年,,,,,,,1469228.1,,,,,,,,,,,,,,,,,
1995年,,,,,,,2012422.5,,,,,,,,,,,,,,,,,
1996年,,,,,,,2610361.2,,,,,,,,,,,,,,,,,
1997年,837133.0,603203.0,,12705.0,,518697.0,3260792.0,765296.0,75408.0,74378.0,2854.0,209.0,131918.0,69931.0,,,834279.0,,765088.0,,578857.0,1843.0,,710775.0
1998年,960625.0,664692.0,,10099.0,,588238.0,3697473.5,880806.0,77353.0,87151.0,4008.0,204.0,123531.0,41192.0,,,956617.0,,880602.0,,731134.0,1636.0,,854665.0
1999年,1180676.4,794065.9,,,,608566.7,4636107.9,928366.6,78506.0,92872.7,4404.6,153.4,170995.4,44912.0,,,1176271.8,,928213.2,,1207835.5,1973.0,,1378830.9
2000年,1524035.0,850089.8,,,,640851.3,5948304.3,994034.2,90165.6,89854.5,3938.0,136.6,240827.9,59718.3,,,1520097.0,,993897.6,,1926108.9,2832.9,,2166936.8
2001年,1967943.7,840766.5,,,,699629.9,7456013.5,1072032.8,99743.3,83210.5,4507.8,100.4,299878.8,57042.4,,,1963435.9,,1071932.4,,2824417.1,3031.4,,3124295.9
2002年,2433370.7,824107.5,,,,743639.3,9227791.7,1156260.1,110060.9,85062.8,4890.7,152.8,357990.8,77188.6,,,2428480.0,,1156107.3,,3906525.7,3303.8,,4264516.5
2003年,2926106.9,857516.7,,,,804892.2,11214984.7,1283907.2,119716.0,86506.2,4540.2,110.1,430186.6,96549.4,,,2921566.7,,1283797.1,,5057306.5,4172.2,,5487493.1
2004年,3427589.7,860022.3,,,,899873.9,13465517.3,1450088.0,138235.4,88798.2,5557.6,173.1,461736.7,134383.9,,,3422032.1,,1449914.9,,6476921.3,3791.5,,6938658.0
2005年,3872267.4,862350.9,,,,952222.7,15530544.6,1525970.9,149981.1,88852.2,5400.8,190.0,459876.6,162001.7,,,3866866.6,,1525780.9,,7919249.3,3565.0,,8379125.9
2006年,,,,,,,15523301.0,,,,,,,,,,,,,,,,,
2007年,5032149.2,1098836.7,2401010.5,109584.3,112388.7,85598.1,21309082.2,989097.1,176183.7,105770.3,4740.4,408.1,542539.0,355014.7,,,5027408.8,1317700.8,988689.0,3709708.0,12231913.7,2788.4,841388.8,12774452.7
2008年,4789156.5,1269790.6,2623644.4,80370.3,117344.9,107332.1,23492982.8,767625.7,489216.5,93793.0,6197.2,,561585.5,375069.7,,,4782959.3,856040.4,767625.7,3926918.9,14181276.7,107.2,884991.1,14742862.2
2009年,4971681.0,1357866.0,2778156.0,70809.0,142380.0,158898.0,25155982.6,760280.0,635670.0,99450.0,2252.0,,535617.0,428558.0,,,4969428.0,897480.0,760280.0,4071948.0,15403469.0,301.0,892282.0,15939087.0
2010年,5356601.3,1381849.1,2765576.8,49413.7,144593.9,166854.1,30155593.4,896042.3,3841974.9,91532.6,2230.6,,484667.2,447770.9,,,5354370.7,996879.8,896042.3,4357490.9,16760755.9,561.3,844424.2,17245423.1
2011年,5770464.5,1350179.6,2668383.8,37576.7,173900.5,223509.3,33169741.9,1141006.3,4927263.0,78090.4,1403.4,,502586.3,436449.6,,,5769061.1,1222953.5,1141006.3,4546107.6,18121026.0,1435.3,803664.2,18623612.3
2012年,,,,,,,35048300.8,,,,,,,,,,,,,,,,,
2013年,,,,,,,37376868.6,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
