,专科院校数,中央部委专科院校数,中央部委成人高等学校数,中央部委普通高校数,中央部委普通高校研究生培养机构数,中央部委本科院校数,中央部委民办的其他高等教育机构数,中央部委研究生培养机构数,中央部委科研机构研究生培养机构数,中央部委职业技术学院数,其他部委专科院校数,其他部委成人高等学校数,其他部委普通高校数,其他部委普通高校研究生培养机构数,其他部委本科院校数,其他部委民办的其他高等教育机构数,其他部委研究生培养机构数,其他部委科研机构研究生培养机构数,其他部委职业技术学院数,地方专科院校数,地方企业专科院校数,地方企业成人高等学校数,地方企业普通高校数,地方企业普通高校研究生培养机构数,地方企业本科院校数,地方企业民办的其他高等教育机构数,地方企业研究生培养机构数,地方企业科研机构研究生培养机构数,地方企业职业技术学院数,地方成人高等学校数,地方普通高校数,地方普通高校研究生培养机构数,地方本科院校数,地方民办的其他高等教育机构数,地方研究生培养机构数,地方科研机构研究生培养机构数,地方职业技术学院数,成人高等学校数,教育部专科院校数,教育部成人高等学校数,教育部普通高校数,教育部普通高校研究生培养机构数,教育部本科院校数,教育部民办的其他高等教育机构数,教育部研究生培养机构数,教育部科研机构研究生培养机构数,教育部职业技术学院数,教育部门专科院校数,教育部门成人高等学校数,教育部门普通高校数,教育部门普通高校研究生培养机构数,教育部门本科院校数,教育部门民办的其他高等教育机构数,教育部门研究生培养机构数,教育部门科研机构研究生培养机构数,教育部门职业技术学院数,普通高校数,普通高校研究生培养机构数,本科院校数,民办专科院校数,民办成人高等学校数,民办普通高校数,民办普通高校研究生培养机构数,民办本科院校数,民办的其他高等教育机构数,民办研究生培养机构数,民办科研机构研究生培养机构数,民办职业技术学院数,研究生培养机构数,科研机构研究生培养机构数,职业技术学院数,非教育部门专科院校数,非教育部门成人高等学校数,非教育部门普通高校数,非教育部门普通高校研究生培养机构数,非教育部门本科院校数,非教育部门民办的其他高等教育机构数,非教育部门研究生培养机构数,非教育部门科研机构研究生培养机构数,非教育部门职业技术学院数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.0,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.0,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.0,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.0,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.0,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.0,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054.0,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.0,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,
