,供销社数,出版物发行机构数,出版社数,国有书店及国有发行点从业人数,国有书店及国有发行点数,文化教育广电邮政系统数,新华书店系统出版社自办发行从业人数,新华书店系统外批发网点数,网上书店数,集体个体零售数
1978年,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0
2010年,1520,167882,462,137606,9985,39264,147624,6483,174,109994
2011年,997,168586,447,138414,9513,36455,147294,7141,101,113932
2012年,748,172633,446,140268,9403,37821,7761,7505,619,116091
2013年,839,172447,447,139046,9255,38062,147254,7984,728,115132
2014年,700,169619,444,130471,8922,37785,140674,8462,0,113306
