,不使用“中国标准书号”部分图书出版种数,交通运输图书出版种数,使用“中国标准书号”部分图书出版种数,军事图书出版种数,农业科学图书出版种数,医学、卫生图书出版种数,历史、地理图书出版种数,哲学图书出版种数,国标(GB)、部标(BB)等标准类文件印品出版种数,图书出版种数,图片出版种数,天文学、地球科学图书出版种数,工业技术图书出版种数,政治、法律图书出版种数,数理科学、化学图书出版种数,文化、科学、教育、体育图书出版种数,文学图书出版种数,活页文选、活页歌篇、小件印品等出版种数,环境科学图书出版种数,生物科学图书出版种数,社会科学总论图书出版种数,经济图书出版种数,综合性图书出版图书出版种数,自然科学总论图书出版种数,航空、航天图书出版种数,艺术图书出版种数,语言、文字图书出版种数,马列主义、毛泽东思想图书出版种数
1978年,0,0,0,0,0,0,0,0,0,14987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,17212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,21621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,25601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,31784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,35700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,40072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,45603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,51789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,60213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,65961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,74973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,5993,559,74231,205,1780,2645,2729,1206,0,80224,0,717,7468,3351,1684,27480,7756,0,207,418,979,4636,2588,271,96,5272,2043,141
1991年,6340,573,83275,268,2348,3141,3605,1150,0,89615,0,659,7990,4144,1590,30609,9163,0,175,396,1044,5197,2716,256,111,5775,2207,158
1992年,4513,671,87635,297,2621,3186,3444,1049,0,92148,0,720,8488,3779,1531,32876,9534,0,180,409,1024,5505,3156,290,100,6146,2438,191
1993年,3789,414,92972,313,2336,3455,3525,1000,0,96761,0,700,9409,3409,1646,37463,9488,0,209,398,996,6201,3098,295,111,5560,2724,222
1994年,2885,672,100951,510,2052,3844,3686,963,0,103836,0,799,9887,3583,1810,42376,9735,0,227,394,987,7252,3013,321,122,5350,3175,193
1995年,2394,895,98987,572,2374,3690,3775,1068,0,101381,0,556,10401,3330,1606,41977,8944,0,165,378,981,6597,2869,402,100,4846,3357,104
1996年,2536,817,110277,278,2329,4276,4052,1184,0,112813,0,742,11191,3585,1686,48167,9887,0,218,395,1084,7027,2931,459,119,5959,3765,132
