,中、短波转播发射台,付费广播节目套数,付费电视节目套数,全国广播电视从业人员数,全国广播电视总收入,全国有线广播电视用户数,全国电影综合收入,公共广播节目套数,公共广播节目播出时间,公共电视节目套数,公共电视节目播出时间,农村广播人口覆盖率,农村有线广播电视用户数,农村电视人口覆盖率,制作广播节目时间,制作电视节目时间,动画电视播出数,国产影片海外销售收入,国内电影票房收入,国有电影制片厂数,广播节目套数,广播节目综合人口覆盖率,微波实有站,数字电视用户数,电影故事片厂数,电影院线,电影院线内影院,电影院线内银幕,电视剧播出数(部),电视剧播出数(集),电视播映收入,电视节目套数,电视节目综合人口覆盖率,电视转播发射台,调频转播发射台,进口动画电视播出数,进口电视剧播出数(部),进口电视剧播出数(集)
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,280799.0,38056.0,,,,,,68.3,,,,,,,,,,,68.4,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,482.0,,,,,,,,,,,405.0,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,568.0,,,,,,,,,,,465.0,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,645.0,73.0,,,,,,,,,,512.0,77.9,,,,,
1990年,,,,,,,,,,,,,,,647762.0,91572.0,,,,,750.0,74.7,,,,,,,,,,554.0,79.4,,,,,
1991年,,,,,,,,,,,,,,,766538.0,108492.0,,,,,848.0,75.0,,,,,,,,,,596.0,81.0,,,,,
1992年,,,,,,,,,,,,,,,969180.0,148143.0,,,,,943.0,75.6,,,,,,,,,,644.0,81.3,,,,,
1993年,,,,,,,,,,,,,,,1425567.0,218260.0,,,,,1149.0,76.3,,,,,,,,,,755.0,82.3,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,2332164.0,383513.0,,,,,,78.8,,,,,,,,,,,84.51,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,3195941.0,616437.0,,,,,,86.02,,,,,,,,,,,87.68,,,,,
1998年,,,,,,,,,,,,,,,3375588.0,725699.0,,,,,1645.0,88.26,,,,,,,,,,1065.0,89.01,,,,,
1999年,,,,,,,,,,,,,,,3578827.0,790874.0,,,,,1696.0,90.5,,,,,,,,,,1108.0,91.6,,,,,
2000年,,,,,,,,,,,,,,,4043046.0,871081.0,,,,,1934.0,92.47,,,,,,,,,,1206.0,93.65,,,,,
2001年,,,,,,,,,,,,,,,4159478.0,1578755.0,,,,,1935.0,92.92,,,,,,,,,,2194.0,94.18,,,,,
2002年,,,,,,,,,,,,,,,4414043.0,1680909.0,,,,,1983.0,93.34,,,,,,,,,,2124.0,94.61,,,,,
2003年,,,,,,,,,,,,,,,5023387.0,1791110.0,,,,,2064.0,93.72,,,,,,,,,,2262.0,94.94,,,,,
2004年,,,,,,,,,,,,,,,5267457.0,2117158.0,,,,,,94.05,,,,,,,,,,,95.29,,,,,
2005年,,,,59.5377,931.147267,,,,,,,,,,6139227.0,2553861.0,,,,,2306.0,94.48,,,,,,,,,,2899.0,95.81,,,,,
2006年,800.0,1.0,109.0,62.43,1099.12,13995.0,57.3,2365.0,10780486.0,2983.0,13604469.0,94.11,5490.0,95.56,6192339.0,2618034.0,,19.1,26.2,36.0,2366.0,95.04,,1266.0,,34.0,1325.0,3034.0,22.7269,490.2687,12.0,3092.0,96.23,27163.0,16657.0,,13311.0,25.08
