,从俄罗斯引进电视节目版权总数,从其他地区引进电视节目版权总数,从加拿大引进电视节目版权总数,从台湾地区引进电视节目版权总数,从德国引进电视节目版权总数,从新加坡引进电视节目版权总数,从日本引进电视节目版权总数,从法国引进电视节目版权总数,从澳门地区引进电视节目版权总数,从美国引进电视节目版权总数,从英国引进电视节目版权总数,从韩国引进电视节目版权总数,从香港地区引进电视节目版权总数,引进电视节目版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,160.0,,102.0,,15.0,62.0,125.0,24.0,285.0,585.0,65.0,23.0,1446.0
2011年,,48.0,,,,60.0,130.0,10.0,,241.0,212.0,1.0,32.0,734.0
2012年,,16.0,,,2.0,26.0,1.0,2.0,,42.0,73.0,4.0,24.0,190.0
2013年,,11.0,1.0,22.0,7.0,17.0,4.0,8.0,,83.0,66.0,111.0,51.0,381.0
2014年,,14.0,3.0,11.0,2.0,1.0,7.0,10.0,,116.0,115.0,29.0,8.0,316.0
