,从俄罗斯引进软件版权总数,从其他地区引进软件版权总数,从加拿大引进软件版权总数,从台湾地区引进软件版权总数,从德国引进软件版权总数,从新加坡引进软件版权总数,从日本引进软件版权总数,从法国引进软件版权总数,从澳门地区引进软件版权总数,从美国引进软件版权总数,从英国引进软件版权总数,从韩国引进软件版权总数,从香港地区引进软件版权总数,引进软件版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,36.0,,4.0,8.0,,23.0,4.0,,40.0,10.0,23.0,156.0,304.0
2011年,,53.0,,5.0,14.0,2.0,14.0,1.0,,47.0,15.0,8.0,114.0,273.0
2012年,,43.0,5.0,3.0,16.0,,15.0,4.0,,34.0,4.0,3.0,62.0,189.0
2013年,,42.0,1.0,2.0,18.0,1.0,18.0,4.0,,36.0,9.0,2.0,36.0,169.0
2014年,,5.0,1.0,1.0,6.0,,2.0,6.0,,19.0,5.0,1.0,,46.0
