,向俄罗斯输出图书版权总数,向其他地区输出图书版权总数,向加拿大输出图书版权总数,向台湾地区输出图书版权总数,向德国输出图书版权总数,向新加坡输出图书版权总数,向日本输出图书版权总数,向法国输出图书版权总数,向澳门地区输出图书版权总数,向美国输出图书版权总数,向英国输出图书版权总数,向韩国输出图书版权总数,向香港地区输出图书版权总数,输出图书版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,11.0,816.0,31.0,1236.0,89.0,260.0,207.0,120.0,6.0,244.0,176.0,343.0,341.0,3880.0
2011年,40.0,1659.0,15.0,1644.0,127.0,131.0,161.0,126.0,19.0,766.0,422.0,446.0,366.0,5922.0
2012年,104.0,2173.0,104.0,1781.0,352.0,173.0,401.0,130.0,1.0,1021.0,606.0,282.0,440.0,7568.0
2013年,124.0,2037.0,46.0,1714.0,328.0,171.0,292.0,184.0,24.0,753.0,574.0,656.0,402.0,7305.0
2014年,177.0,2292.0,67.0,2284.0,304.0,248.0,346.0,313.0,13.0,734.0,410.0,623.0,277.0,8088.0
