,录像制品出版数量,录像制品出版种数,录像制品发行数量,录像带及其他出版数量,录像带及其他出版种数,数码激光视盘出版数量,数码激光视盘出版种数,新版录像制品出版数量,新版录像制品出版种数,新版录像带及其他出版数量,新版录像带及其他出版种数,新版数码激光视盘出版数量,新版数码激光视盘出版种数,新版高密度激光视盘出版数量,新版高密度激光视盘出版种数,高密度激光视盘出版数量,高密度激光视盘出版种数
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,183.12,3418.0,2.82,15.0,,,,,,,,,,
1999年,,,,90.515,2437.0,,,,,,,,,,,,
2000年,,,,71.1351,1271.0,7880.3183,7101.0,,,,,,,,,130.988146,294.0
2001年,,,,64.8784,1017.0,14078.7461,10100.0,,,,,,,,,253.176246,328.0
2002年,,,,43.0,663.0,19992.0,11766.0,,,,,,,,,1808.7,1147.0
2003年,,,,16.354,296.0,30483.7168,12651.0,,,,,,,,,4851.9153,1944.0
2004年,,,,5.77,214.0,29673.18,15398.0,,,,,,,,,6531.85,3305.0
2005年,,,,5.4,236.0,26880.31,14067.0,,,,,,,,,11511.68,4226.0
2006年,,,,6.79,47.0,20387.67,12747.0,,,,,,,,,9951.3,4601.0
2007年,,,,5.47,24.0,16722.37,10561.0,,,,,,,,,11585.33,5959.0
2008年,17868.75,11772.0,16074.09,59.66,40.0,9764.29,6365.0,12457.44,8480.0,59.66,37.0,6587.0,3921.0,5810.78,4522.0,8044.8,5367.0
2009年,15470.98,13069.0,12216.64,3.17,6.0,8054.2,6184.0,12086.89,9886.0,3.17,6.0,5329.25,3640.0,6754.47,6240.0,7413.61,6879.0
2010年,18528.93,10913.0,11861.44,255.52,43.0,6519.63,4034.0,14877.99,8136.0,254.94,41.0,3760.05,2265.0,10863.0,5830.0,11753.78,6836.0
2011年,21788.2,9477.0,12807.09,62.98,141.0,6864.36,2994.0,18221.2,6993.0,59.77,137.0,4417.73,1591.0,13743.7,5265.0,14860.86,6342.0
2012年,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,
2014年,10453.84,5850.0,7937.47,,,,,,,,,,,,,,
