,中央文物业举办陈列展览,其他文物机构文物陈列展览,其他部门文物事业举办陈列展览,博物馆文物陈列展览,县、市文物业举办陈列展览,地、市文物业举办陈列展览,文物业举办陈列展览,文物保护管理机构文物陈列展览,文物商店举办陈列展览,文物科研机构文物陈列展览,文物部门文物事业举办陈列展览,省、市、区文物业举办陈列展览
1978年,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,2831,0,0,0,0,0,0,0,0
1988年,0,0,0,3238,0,0,0,0,0,0,0,0
1989年,0,0,0,4086,0,0,0,0,0,0,0,0
1990年,0,0,0,4113,0,0,0,0,0,0,0,0
1991年,0,0,0,4292,0,0,0,0,0,0,0,0
1992年,0,0,0,3401,0,0,0,0,0,0,0,0
1993年,0,0,0,4576,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,6116,0,0,0,0,0,0,0,0
1999年,0,0,0,6757,0,0,0,0,0,0,0,0
2000年,0,0,0,17752,0,0,0,0,0,0,0,0
2001年,0,0,0,8644,0,0,0,3463,0,0,0,0
2002年,0,0,0,8111,0,0,0,5976,0,0,0,0
2003年,0,0,0,5809,0,0,0,4153,0,0,0,0
2004年,0,0,0,5090,0,0,0,1828,0,0,0,0
2005年,0,0,0,5929,0,0,0,2034,0,0,0,0
2006年,0,0,0,5879,0,0,0,1987,0,0,0,0
2007年,0,0,0,7689,0,0,0,2992,0,19,0,0
2008年,78,0,0,8364,5705,3433,10487,2106,0,17,0,1271
2009年,105,0,1023,14057,10449,4590,16520,2449,0,14,15497,1376
2010年,116,0,2128,26704,23784,4896,30156,3419,0,33,28028,1360
2011年,140,0,1227,16921,12278,5360,19190,2243,0,26,17963,1412
2012年,172,0,2600,20115,14503,6023,22279,2128,0,36,19679,1581
2013年,30,0,1582,7650,5873,2067,8392,732,0,10,6810,422
2014年,180,0,3233,19565,13078,6390,21170,1566,0,39,17937,1522
