,中央文物业机构从有关部门接收文物数,其他文物机构从有关部门接收文物数,其他部门文物业机构从有关部门接收文物数,县、市文物业机构从有关部门接收文物数,地、市文物业机构从有关部门接收文物数,文物业机构从有关部门接收文物数,文物保护管理机构从有关部门接收文物数,文物商店从有关部门接收文物数,文物科研机构从有关部门接收文物数,文物部门文物业机构从有关部门接收文物数,本年博物馆从有关部门接收文物数,省、市、区文物业机构从有关部门接收文物数
1978年,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0
2008年,141,0,0,17647,9731,45300,3607,0,647,0,41046,17781
2009年,4005,9,1163,27587,8076,49127,4682,0,225,47964,44211,9459
2010年,0,13827,1285,11385,24749,38600,3702,0,171,37315,20900,2466
2011年,413802,7856,932,16230,15753,447827,5265,0,11,446895,434695,2042
2012年,3871,53,18081,28451,12770,48855,1487,0,1,30774,47314,3763
2013年,11312,4,48952,79765,31673,127264,14144,0,46,78312,113070,4514
2014年,904,3,162377,175784,9525,189515,2966,0,310,27138,186236,3302
