,中央文物业机构数,其他文物机构数,其他部门文物业机构数,博物馆机构数,县、市文物业机构数,地、市文物业机构数,文物业机构数,文物保护管理机构数,文物商店机构数,文物科研机构数,文物部门文物业机构数,省、市、区文物业机构数
1978年,0,0,0,349,0,0,0,0,0,0,0,0
1979年,0,0,0,344,0,0,0,0,0,0,0,0
1980年,0,0,0,365,0,0,0,0,0,0,0,0
1981年,0,0,0,383,0,0,0,0,0,0,0,0
1982年,0,0,0,409,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,711,0,0,0,0,0,0,0,0
1986年,0,0,0,777,0,0,0,0,0,0,0,0
1987年,0,0,0,827,0,0,0,0,0,0,0,0
1988年,0,0,0,903,0,0,0,0,0,0,0,0
1989年,0,0,0,967,0,0,0,0,0,0,0,0
1990年,0,0,0,1013,0,0,0,0,0,0,0,0
1991年,0,0,0,1075,0,0,0,0,0,0,0,0
1992年,0,0,0,1106,0,0,0,0,0,0,0,0
1993年,0,0,0,1130,0,0,0,0,0,0,0,0
1994年,0,0,0,1161,0,0,0,0,0,0,0,0
1995年,0,0,0,1194,0,0,0,0,0,0,0,0
1996年,0,0,0,1219,0,0,0,0,0,0,0,0
1997年,0,0,0,1282,0,0,0,0,0,0,0,0
1998年,0,72,0,1339,0,0,3496,1910,122,53,0,0
1999年,0,68,0,1363,0,0,3553,1944,121,56,0,0
2000年,0,68,0,1392,0,0,3618,1984,117,57,0,0
2001年,0,71,0,1461,0,0,3739,2021,119,67,0,0
2002年,0,61,0,1511,0,0,3867,2108,115,72,0,0
2003年,0,71,0,1515,0,0,3903,2275,113,75,0,0
2004年,0,79,0,1548,0,0,3965,2151,106,81,0,0
2005年,0,78,0,1581,0,0,4030,2186,97,88,0,0
2006年,0,85,0,1617,0,0,4092,2204,96,90,0,0
2007年,0,138,0,1722,0,0,4277,2229,89,99,0,0
2008年,10,141,0,1893,3161,1012,4437,2223,84,96,0,254
2009年,11,143,234,2252,3596,978,4842,2263,80,104,4608,257
2010年,14,152,260,2435,3872,1064,5207,2436,76,108,4947,257
2011年,13,161,272,2650,4352,1104,5728,2735,75,107,5456,259
2012年,12,164,494,3069,4687,1163,6124,2705,72,114,5630,262
2013年,12,1269,852,3473,5984,1444,7737,2809,71,115,6885,297
2014年,11,1294,906,3658,6602,1507,8421,3280,71,118,7515,301
