,中央文物业资产,其他文物机构资产,其他部门文物业资产,博物馆资产,县、市文物业资产,地、市文物业资产,文物业资产,文物保护管理机构资产,文物商店资产,文物科研机构资产,文物部门文物业资产,省、市、区文物业资产
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,,,,,,,,,,,,
2003年,,,,,,,,,,,,
2004年,,,,,,,,,,,,
2005年,,,,,,,,,,,,
2006年,,,,,,,,,,,,
2007年,,,,,,,,,,,,
2008年,,,,,,,,,,,,
2009年,,,,,,,,,,,,
2010年,,,,,,,,,,,,
2011年,300231.1,424436.5,579823.9,2977045.1,1594048.5,1470348.9,4627565.3,783487.3,211326.3,231270.1,4047741.4,1262936.8
2012年,307764.2,577177.1,1178515.4,4076383.4,2413996.9,1695201.5,5971229.3,854227.0,203774.2,259667.6,4792713.9,1554266.7
2013年,611066.0,616666.0,1826241.0,5485990.0,2884303.0,2252594.0,7674904.0,1031355.0,217327.0,323566.0,5848663.0,1926941.0
2014年,655444.0,895196.5,2234187.3,7089757.0,4271795.8,2835107.1,10177757.3,1551191.7,232257.6,409354.5,7943570.0,2415410.4
