,省、区、直辖市(级)群众业余文艺团体数,省、区、直辖市(级)群众文化机构举办展览,省、区、直辖市(级)群众文化机构举办训练班班次,省、区、直辖市(级)群众文化机构从业人员,省、区、直辖市(级)群众文化机构参加培训人次,省、区、直辖市(级)群众文化机构参加文艺活动人次,省、区、直辖市(级)群众文化机构参加研讨和讲座人次,省、区、直辖市(级)群众文化机构参观展览人次,省、区、直辖市(级)群众文化机构总支出,省、区、直辖市(级)群众文化机构拥有计算机台数,省、区、直辖市(级)群众文化机构收入,省、区、直辖市(级)群众文化机构数,省、区、直辖市(级)群众文化机构组织各类理论研讨和讲座次数,省、区、直辖市(级)群众文化机构组织文艺活动,省、区、直辖市(级)群众文化机构藏书,省、区、直辖市(级)群众文化机构馆办文艺团体数,省、区、直辖市(级)群众文化机构馆办文艺团体演出场次,省、区、直辖市(级)群众文化机构馆办老年大学数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,130.0,214.0,5774.0,1647.0,0.0,0.0,0.0,0.0,2.35948,913.0,2.6023,31.0,200.0,796.0,13.7,109.0,0.0,14.0
2009年,82.0,330.0,1672.0,1711.0,6.322,0.0,0.0,0.0,2.93,885.0,3.32,31.0,635.0,976.0,10.786,100.0,2015.0,9.0
2010年,88.0,269.0,2570.0,1698.0,6.2,0.0,0.0,0.0,4.2,1130.0,3.8,31.0,460.0,1259.0,13.7,85.0,911.0,9.0
2011年,142.0,279.0,2160.0,1720.0,17.6,275.0,25.74,187.17,4.36368,1247.0,4.53716,31.0,1778.0,1567.0,11.68,88.0,1381.0,11.0
2012年,60.0,408.0,6283.0,1837.0,21.57,216.96,19.06,212.04,5.29029,1474.0,5.65655,31.0,827.0,1552.0,11.79,102.0,21333.0,13.0
2013年,92.0,372.0,2019.0,1900.0,40.0,583.0,31.0,255.0,6.8,2250.0,7.03,31.0,577.0,2066.0,16.0,93.0,1347.0,13.0
2014年,160.0,447.0,2012.0,1819.0,32.317,2490.525,13.53,299.073,6.09686,1973.0,6.17671,31.0,793.0,5900.0,17.506,97.0,1473.0,12.0
