,政府采购的中央艺术表演团体公益演出活动演出场次,政府采购的乐团、合唱团公益活动演出场次,政府采购的京剧公益活动演出场次,政府采购的公益演出活动演出场次,政府采购的其他艺术表演团体公益演出活动演出场次,政府采购的其他部门艺术表演团体公益演出活动演出场次,政府采购的县、市艺术表演团体公益演出活动演出场次,政府采购的国有艺术表演团体公益演出活动演出场次,政府采购的地、市艺术表演团体公益演出活动演出场次,政府采购的戏曲剧团公益活动演出场次,政府采购的执行事业会计制度的艺术表演团体公益演出活动演出场次,政府采购的执行企业会计制度的艺术表演团体公益演出活动演出场次,政府采购的文化部门艺术表演团体公益演出活动演出场次,政府采购的文工团、文宣队、乌兰牧骑公益活动演出场次,政府采购的曲、杂、木、皮影团公益活动演出场次,政府采购的歌剧、舞剧、歌舞剧团公益活动演出场次,政府采购的歌舞团、轻音乐团公益活动演出场次,政府采购的省、区、市艺术表演团体公益演出活动演出场次,政府采购的综合性艺术表演团体公益活动演出场次,政府采购的话剧、儿童剧、滑稽剧团公益活动演出场次,政府采购的集体艺术表演团体公益演出活动演出场次
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,
2011年,0.034,0.063,0.148,8.266,1.619,1.37,5.37,6.123,1.666,3.8,6.156,2.11,6.895,0.592,0.442,0.316,1.37,1.196,1.371,0.309,0.526
2012年,0.039,0.075,0.262,10.329,2.984,3.215,7.182,6.926,1.947,4.688,5.838,4.491,7.115,0.685,0.56,0.448,1.818,1.162,1.585,0.482,0.42
2013年,0.037,,,9.176,1.42,0.273,5.431,7.221,2.291,,6.224,2.952,8.903,,,,,1.423,,,0.537
2014年,0.05,,,10.85,1.419,0.265,6.408,8.757,2.839,,7.402,3.448,10.585,,,,,1.554,,,0.673
