,中央艺术表演团体演出场次,乐团、合唱团演出场次,京剧剧团演出场次,其他艺术表演团体演出场次,其他部门艺术表演团体演出场次,县、市艺术表演团体演出场次,国有艺术表演团体演出场次,地、市艺术表演团体演出场次,戏曲剧团演出场次,执行事业会计制度的艺术表演团体演出场次,执行企业会计制度的艺术表演团体演出场次,文化部门艺术表演团体演出场次,文工团、文宣队、乌兰牧骑演出场次,曲艺、杂技、木偶、皮影团演出场次,歌剧、舞剧、歌舞剧团演出场次,歌舞团、轻音乐团演出场次,省、区、市艺术表演团体演出场次,综合性艺术表演团体演出场次,艺术表演团体演出场次,话剧、儿童剧、滑稽剧团演出场次,集体艺术表演团体演出场次
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,3.68,1.48,,,,32.54,,38.36,,,,0.24,13.71,4.66,,,,62.11,1.46,29.57
1988年,,0.17,1.43,,,,30.5,,34.67,,,,3.63,10.43,4.87,,,,55.18,1.41,24.68
1989年,,0.16,1.1,,,,26.83,,31.06,,,,3.3,9.17,4.04,,,,49.02,1.3,22.19
1990年,,0.16,1.13,,,,28.14,,30.8,,,,3.69,8.98,3.93,,,,49.1,1.51,20.96
1991年,,0.15,1.1,,,,25.31,,28.5,,,,3.3,8.1,3.4,,,,44.63,1.24,19.32
1992年,,0.14,1.07,,,,24.35,,27.71,,,,3.31,6.85,3.34,,,,42.53,1.18,18.18
1993年,,0.1,1.0,,,,23.8,,26.8,,,,3.1,6.3,3.3,,,,40.8,1.2,17.0
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,0.9,,,,26.3,,25.2,,,,3.9,6.6,4.1,,,,42.4,1.0,15.5
1999年,,0.1,0.9,,,,26.6,,24.7,,,,4.0,7.0,0.7,3.5,,,42.3,1.2,15.7
2000年,,,1.0,,,,28.0,,23.8,,,,4.0,6.7,0.8,3.5,,,43.0,0.8,15.0
2001年,,,1.2,,,,28.2,,23.3,,,,3.8,7.6,1.6,4.3,,,42.3,1.6,13.9
2002年,,0.1,1.3,,,,28.4,,23.9,,,,3.6,7.0,1.5,3.8,,,41.6,1.6,13.0
2003年,,0.1,0.1,,,,25.9,,21.6,,,,0.3,0.69,0.13,0.3,,,38.5,0.13,12.2
2004年,,0.2,1.07,,,,29.4,,22.31,,,,3.17,7.97,1.27,3.78,,,42.5,1.98,11.33
2005年,,0.2,1.3,,,,29.9,,25.9,,,,4.0,8.0,1.4,4.0,,1.5,45.9,0.9,10.7
2006年,,,1.0,,,,31.0,,26.4,,,,3.9,7.0,1.5,5.1,,3.6,49.0,1.5,9.9
2007年,,0.26,2.282,,,,34.094,,37.697,,,,3.575,26.703,1.869,8.96,,10.1,92.2,3.031,11.943
2008年,0.278,0.356,1.335,41.232,47.796,70.315,39.669,14.568,32.368,,,42.729,4.918,27.344,1.695,8.991,5.364,10.567,90.525,4.286,9.624
2009年,0.281,0.564,2.071,75.455,75.224,99.55,35.306,14.919,45.386,,,44.886,3.917,35.539,2.761,19.838,5.359,10.854,120.11,1.263,9.349
2010年,0.385,0.675,2.056,91.414,91.145,114.687,38.19,15.715,47.691,,,46.004,4.2,38.916,3.975,16.197,6.361,23.972,137.149,1.524,7.545
2011年,0.422,0.781,2.068,109.37,110.947,133.525,37.57,14.441,83.755,40.585,114.134,43.771,3.956,16.135,2.786,18.231,6.33,27.335,154.72,1.742,7.779
2012年,0.284,1.013,2.269,86.918,94.837,113.071,42.347,14.674,49.158,32.487,102.531,40.181,3.497,30.769,3.441,17.469,6.988,23.472,135.018,6.198,5.753
2013年,0.338,,,129.661,125.3,148.73,29.634,9.605,,29.208,135.897,39.806,,,,,6.432,,165.105,,5.812
2014年,0.376,,,138.744,134.339,157.285,30.154,10.042,,28.841,145.071,39.573,,,,,6.209,,173.912,,5.013
