,中央艺术表演场馆支出合计,书场、曲艺场支出合计,其他艺术表演场馆支出合计,其他部门艺术表演场馆支出合计,剧场支出合计,县、市及以下艺术表演场馆支出合计,国有艺术表演场馆支出合计,地、市艺术表演场馆支出合计,影剧院支出合计,执行事业会计制度艺术表演场馆支出合计,执行企业会计制度艺术表演场馆支出合计,文化部门艺术表演场馆支出合计,杂技、马戏场支出合计,省、区、市艺术表演场馆支出合计,综合性艺术表演场馆支出合计,艺术表演场馆支出合计,集体艺术表演场馆支出合计,音乐厅支出合计
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,
2011年,2660.0,3310.1,59438.8,351034.1,207119.6,227464.0,301010.1,198657.6,113531.4,210473.2,407990.8,267429.9,13212.2,189682.4,147237.6,618464.0,2321.4,74614.3
2012年,3188.2,13256.8,28932.8,447854.5,325617.4,384844.1,328851.7,177688.3,161212.8,237138.7,488187.5,277471.7,2787.7,159605.6,121623.1,725326.2,825.0,71895.7
2013年,4136.0,1676.0,4392.0,,216282.0,95397.0,316166.0,160016.0,103574.0,234739.0,182364.0,,312.0,157554.0,75908.0,417103.0,1646.0,14959.0
2014年,4608.2,1529.1,5019.8,,212032.0,284474.4,316932.3,85103.4,114030.3,235253.8,161494.8,,339.5,24790.7,46257.5,396748.6,1634.5,17540.4
