,中央艺术表演场馆演出收入,书场、曲艺场演出收入,其他艺术表演场馆演出收入,其他部门艺术表演场馆演出收入,剧场演出收入,县、市及以下艺术表演场馆演出收入,国有艺术表演场馆演出收入,地、市艺术表演场馆演出收入,影剧院演出收入,执行事业会计制度艺术表演场馆演出收入,执行企业会计制度艺术表演场馆演出收入,文化部门艺术表演场馆演出收入,杂技、马戏场演出收入,省、区、市艺术表演场馆演出收入,综合性艺术表演场馆演出收入,艺术表演场馆演出收入,集体艺术表演场馆演出收入,音乐厅演出收入
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,
2010年,59.3,2257.5,7581.7,99662.5,52715.3,39263.5,77734.0,16548.9,11701.5,,,38309.4,2063.5,82100.2,16160.7,137971.9,1576.3,45491.7
2011年,192.6,2704.6,6532.8,135961.1,91638.0,46927.5,87546.1,49708.3,14343.7,55155.0,132033.4,51227.3,22163.4,90360.0,21490.5,187188.4,2280.5,28315.4
2012年,562.7,11770.4,21046.2,237427.0,187708.8,145240.2,81400.8,71674.4,12826.0,43803.8,238076.9,44453.8,1740.8,64403.4,29276.4,281880.7,281.6,17512.0
2013年,2111.0,101.0,1061.0,,53729.0,15602.0,62844.0,21381.0,8825.0,43654.0,38835.0,,110.0,43395.0,13691.0,82489.0,166.0,4972.0
2014年,4028.7,243.9,880.2,,52237.6,15191.3,62208.4,26226.7,14110.0,38965.4,45546.8,,52.5,39065.5,12155.8,84512.2,118.7,4832.2
