,农村居民国内旅游人均花费,农村居民国内旅游总花费,农村居民国内游客,国内旅游人均花费,国内旅游总花费,国内游客,城镇居民国内旅游人均花费,城镇居民国内旅游总花费,城镇居民国内游客
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,54.88,175.3,319.45,195.33,1023.51,524.0,414.67,848.21,204.55
1995年,61.47,235.6,383.3,218.71,1375.7,629.0,464.02,1140.1,245.7
1996年,70.45,270.02,383.3,256.2,1638.38,639.5,534.1,1368.36,256.2
1997年,145.68,560.87,385.0,328.06,2112.7,644.0,599.8,1551.83,259.0
1998年,197.0,876.05,444.5,345.0,2391.18,694.5,607.0,1515.1,250.0
1999年,249.5,1083.69,435.0,394.0,2831.92,719.0,614.8,1748.23,284.0
2000年,226.6,940.28,415.0,426.6,3175.54,744.0,678.6,2235.26,329.0
2001年,212.7,870.69,409.0,449.5,3522.37,784.0,708.3,2651.68,375.0
2002年,209.1,1030.27,493.0,441.8,3878.36,878.0,739.7,2848.09,385.0
2003年,200.0,1038.19,519.0,395.7,3442.27,870.0,684.9,2404.08,351.0
2004年,210.2,1351.67,643.0,427.5,4710.71,1102.0,731.8,3359.04,459.0
2005年,227.6,1629.73,716.0,436.1,5285.86,1212.0,737.1,3656.13,496.0
2006年,221.9,1815.0,818.0,446.9,6229.74,1394.0,766.4,4414.74,576.0
2007年,222.5,2220.2,998.0,482.6,7770.6,1610.0,906.9,5550.4,612.0
2008年,275.28,2777.55,1009.0,511.031251096,8749.29591842,1712.0,849.361752375,5971.74591842,703.0
2009年,295.3,2949.9,999.0,535.4,10183.7,1902.0,801.1,7233.8,903.0
2010年,306.0,3175.96,1038.0,598.2,12579.77,2103.0,883.0,9403.81,1065.0
2011年,471.4,4496.78,954.0,731.0,19305.39,2641.0,877.8,14808.61,1687.0
2012年,491.0,5028.2,1024.0,767.9,22706.2,2957.0,914.5,17678.0,1933.0
2013年,518.915427509,5583.53,1076.0,805.521765788,26276.12,3262.0,946.596065874,20692.59,2186.0
2014年,540.2,6092.11,1128.0,839.7,30311.86,3611.0,975.4,24219.76,2483.0
