,亚洲入境游客,俄罗斯入境游客,入境游客,其他国家入境游客,加拿大入境游客,北美洲入境游客,印度入境游客,印度尼西亚入境游客,大洋洲及太平洋岛屿入境游客,德国入境游客,意大利入境游客,拉丁美洲入境游客,新加坡入境游客,新西兰入境游客,日本入境游客,朝鲜入境游客,欧洲入境游客,法国入境游客,泰国入境游客,澳大利亚入境游客,瑞典入境游客,瑞士入境游客,美国入境游客,英国入境游客,荷兰入境游客,菲律宾入境游客,葡萄牙入境游客,蒙古入境游客,非洲入境游客,韩国入境游客,马来西亚入境游客
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,91.52,10.98,174.73,0.62,4.76,28.08,1.43,2.69,6.35,5.62,2.63,2.36,7.17,1.0,46.33,2.79,44.63,5.07,6.79,5.02,1.05,1.15,23.32,7.89,1.38,7.89,0.95,1.79,1.17,0.0,3.68
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,338.26,48.93,588.67,1.69,12.88,64.36,4.5,13.28,15.85,16.65,6.37,5.37,26.15,2.29,130.52,6.64,159.06,11.85,17.33,12.94,3.52,3.43,51.49,18.49,3.49,21.97,2.56,26.19,4.08,52.95,25.18
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,428.17,81.37,742.8,1.83,17.41,79.05,6.05,14.73,19.35,18.47,6.51,7.66,31.68,2.83,158.17,7.14,201.83,13.13,16.85,15.68,3.85,3.03,61.64,22.79,5.23,27.67,3.58,34.29,4.91,78.11,36.13
1998年,400.06,69.2,710.77,0.68,19.6,87.33,6.57,10.46,22.48,19.19,7.25,7.46,31.64,3.0,157.21,6.12,187.33,13.8,14.43,18.64,4.06,2.84,67.73,24.29,5.89,25.65,3.85,26.48,5.43,63.28,30.01
1999年,499.27,83.3,843.23,0.5,21.37,95.01,8.42,18.29,24.38,21.76,7.22,7.59,35.25,3.14,185.52,6.98,211.27,15.56,20.64,20.35,4.68,2.99,73.64,25.89,7.01,29.83,4.02,35.45,5.21,99.2,37.29
2000年,610.15,108.02,1016.04,0.68,23.66,113.28,12.09,22.06,28.18,23.91,7.78,8.29,39.94,3.76,220.15,7.64,248.9,18.5,24.11,23.41,5.36,3.07,89.62,28.39,7.6,36.39,2.28,39.91,6.56,134.47,44.1
2001年,686.42,119.62,1122.64,1.79,25.39,120.31,15.94,22.42,30.97,25.34,7.77,7.45,41.5,4.44,238.57,7.71,268.38,19.95,29.84,25.51,5.28,3.08,94.92,30.25,9.3,40.8,2.68,38.71,7.32,167.88,46.86
2002年,851.89,127.16,1343.95,1.11,29.13,141.26,21.36,27.47,35.32,28.18,9.17,9.66,49.71,5.02,292.56,7.93,294.86,22.21,38.63,29.13,6.28,3.24,112.12,34.3,10.04,50.86,3.61,45.31,9.85,212.43,59.24
2003年,726.08,138.065,1140.2855,0.51,23.0326,105.29,21.9097,23.1838,29.98,22.2022,6.5834,8.01,37.8074,4.3428,225.48,7.714,260.0,15.6063,27.5429,24.5417,5.0043,2.3702,82.2511,28.8326,6.7921,45.7725,3.0097,41.8257,10.4226,194.5484,43.0137
2004年,1073.14,179.2193,1693.2506,0.96,34.8046,165.6673,30.9411,34.9832,45.19,36.5329,12.2377,13.245,63.6826,6.4567,333.4255,11.2052,377.71,28.1108,46.4179,37.6308,8.7174,4.0724,130.8627,41.8148,11.7359,54.939,3.9527,55.3767,17.338,284.4862,74.1909
2005年,1249.99,222.39,2025.51,0.65,42.98,198.53,35.65,37.76,57.36,45.49,19.7,16.05,75.59,7.84,339.0,12.58,479.14,37.2,58.63,48.3,11.03,5.14,155.55,49.96,14.58,65.4,4.38,64.2,23.8,354.53,89.96
2006年,1358.82,240.51,2221.03,0.43,49.91,221.0,40.51,43.3,63.86,50.06,19.53,19.58,82.79,8.86,374.59,11.01,527.96,40.22,59.2,53.81,12.96,5.79,171.03,55.26,16.78,70.42,4.45,63.12,29.38,392.4,91.06
2007年,1606.12,300.39,2610.97,0.31,57.72,256.15,46.25,47.71,72.85,55.67,21.52,24.26,92.2,10.87,397.75,11.37,621.68,46.34,61.16,60.74,14.51,6.46,190.12,60.51,19.41,83.3,4.83,68.2,37.91,477.71,106.2
2008年,1455.1,312.34,2432.53,0.23,53.47,232.12,43.66,42.63,68.88,52.89,19.44,26.03,87.58,10.52,344.61,10.18,612.33,43.0,55.43,57.15,13.77,6.34,178.64,55.15,18.09,79.53,4.39,70.53,37.84,396.04,104.05
2009年,1377.93,174.3,2193.75,0.22,55.03,226.01,44.89,46.9,67.24,51.85,19.14,23.1,88.95,10.04,331.75,10.56,459.11,42.48,54.18,56.15,12.58,6.26,170.98,52.88,16.69,74.89,4.36,57.67,40.12,319.75,105.9
2010年,1617.86,237.0313,2612.69,0.2096,68.5304,269.4925,54.93,57.3409,78.9331,60.8621,22.9233,30.0472,100.3658,11.6052,373.12,11.6382,569.79,51.2734,63.5539,66.1342,15.4513,7.4296,200.9595,57.4963,18.9128,82.8284,4.7678,79.4386,46.355,407.6392,124.516
2011年,1662.32,253.63,2711.1971,0.19,74.8,286.4166,60.65,60.87,85.93,63.7,23.5,33.69,106.3,12.09,365.82,15.23,593.78,49.31,60.8,72.62,17.01,7.53,211.61,59.57,19.75,89.43,4.7,99.42,48.88,418.54,124.51
2012年,1662.22,242.61,2719.15,0.19,70.83,282.64,61.02,62.2,91.49,65.96,25.2,35.31,102.77,12.83,351.82,18.06,594.82,52.48,64.76,77.43,17.16,8.28,211.81,61.84,19.55,96.2,4.86,101.05,52.49,406.99,123.55
2013年,1606.01,218.63,2629.03,0.22,68.42,276.95,67.67,60.53,86.34,64.93,25.12,35.43,96.66,12.86,287.75,20.66,568.81,53.35,65.17,72.31,15.9,8.06,208.53,62.5,18.86,99.67,4.94,105.0,55.27,396.9,120.65
2014年,1633.13,204.58,2636.08,0.18,66.71,276.03,70.99,56.69,81.01,66.26,25.31,34.62,97.14,12.66,271.76,18.44,551.43,51.7,61.31,67.21,14.2,7.95,209.32,60.47,18.04,96.79,5.23,108.27,59.69,418.17,112.96
