,内地居民再婚登记,内地居民初婚登记,内地居民登记结婚,涉外及港澳台居民登记结婚,离婚登记,粗离婚率,结婚登记
1978年,,,,,28.5,,597.8
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,50.48,1607.63,829.06,2.22,45.79,0.44,831.3
1986年,57.0763,1707.5107,882.2935,1.7,50.5675,,884.0
1987年,61.3888,1788.0856,924.7372,2.0,58.1484,,926.7
1988年,65.8423,1728.5077,897.175,2.0,65.8551,,899.2
1989年,74.4,1796.0,935.1912,2.0,75.3,0.68,937.2
1990年,78.24,1819.13,948.69,2.38,80.0,0.69,951.1
1991年,81.6472,1820.3226,950.9849,2.6382,83.1,0.72,953.6
1992年,76.9137,1832.0957,954.5047,2.9589,84.9611,0.74,957.5
1993年,77.3152,1747.0092,912.1622,3.2769,91.0,0.77,915.4
1994年,78.6748,1779.3306,929.0027,3.3829,98.2,0.82,932.4
1995年,83.35,1776.07,929.71,4.4,105.6,0.88,934.1
1996年,86.199,1781.724,933.9615,4.7227,113.4,0.93,938.7
1997年,92.1638,1725.9504,909.0571,5.0773,119.9,0.97,914.1
1998年,97.9437,1675.3749,886.6593,5.032,119.2,0.96,891.7
1999年,100.4565,1659.3593,879.9079,5.4163,120.1541,0.96,885.3
2000年,102.62,1581.39,842.0,6.49,121.29,0.96,848.5
2001年,112.4869,1481.7419,797.1144,7.8672,125.0457,0.98,805.0
2002年,117.1,1440.3,778.8,7.2778,117.7,0.9,786.0
2003年,123.3,1483.9,803.5,7.8285,133.0,1.05,811.4
2004年,152.0,1569.6,860.8,6.3544,166.5,1.28,867.2
2005年,163.1,1483.0,816.6,6.43,178.5,1.37,823.1
2006年,184.4,1705.6,938.2,6.82,191.3,1.46,945.0
2007年,203.1,1779.7,986.3,5.11,209.8,1.59,991.4
2008年,224.1,1972.5,1093.2,5.1,226.9,1.71,1098.3
2009年,256.0,2168.8,1207.5,4.92,246.8,1.85,1212.4
2010年,281.1,2200.9,1236.1,4.9,267.8,2.0,1241.0
2011年,294.85,2309.88,1297.48,4.88,287.4,2.13,1302.36
2012年,286.02,2361.17,1318.27,5.33,310.38,2.29,1323.59
2013年,307.89,2385.96,1341.43,5.5,350.01,2.57,1346.93
2014年,326.6788,2286.8064,1302.0405,4.7021,295.7295,2.6657582443,1306.7426
