,农村传统救济人数,农村分散供养五保人数,农村居民最低生活保障人数,农村集中供养五保人数,城市居民最低生活保障人数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,84.9
1997年,,,,,87.9
1998年,,,,,184.1
1999年,,,265.8,,256.9
2000年,,,300.2,,402.6
2001年,,,304.6,,1170.7
2002年,,,407.8,,2064.7
2003年,,,367.1,,2246.8
2004年,,,488.0,,2205.0
2005年,,,825.0,,2234.2
2006年,115.6,,1593.1,,2240.1
2007年,75.0,393.3,3566.3,138.0,2272.1
2008年,72.2,393.0,4305.5,155.6,2334.8
2009年,62.2,381.6,4760.0,171.8,2345.6
2010年,59.5,378.9,5214.0,177.4,2310.5
2011年,68.7,366.5,5305.7,184.5,2276.8
2012年,79.6,360.3,5344.5,185.3,2143.5
2013年,72.9532,353.76,5388.02,183.49,2064.19
2014年,,354.8131,5207.2404,174.258,1877.0467
