,国内专利申请受理量,国内专利申请授权量,国内发明专利申请受理量,国内发明专利申请授权量,国内外观设计专利申请受理量,国内外观设计专利申请授权量,国内实用新型专利申请受理量,国内实用新型专利申请授权量
1978年,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0
1995年,68880,41248,10018,1530,15433,9523,43429,30195
1996年,82207,39725,11471,1383,21395,11381,49341,26961
1997年,90071,46389,12713,1532,27456,17672,49902,27185
1998年,96233,61378,13726,1655,31287,26006,51220,33717
1999年,109958,92101,15596,3097,37148,32910,57214,56094
2000年,128174,85473,25346,6177,46532,34652,68461,54407
2001年,165773,99278,30038,5395,56460,39865,79275,54018
2002年,205544,112103,39806,5868,73572,49143,92166,57092
2003年,251238,149588,56769,11404,86627,69893,107842,68291
2004年,278943,151328,65786,18241,101579,63068,111578,70019
2005年,383157,171619,93485,20705,151587,72777,138085,78137
2006年,470342,223860,122318,25077,188027,92471,159997,106312
2007年,586498,301632,153060,31945,253439,121296,179999,148391
2008年,717144,352406,194579,46590,298620,130647,223945,175169
2009年,877611,501786,229096,65391,339654,234282,308861,202113
2010年,1083997,719408,293066,79767,409124,318597,407238,342256
2011年,1504670,883861,415829,112347,507538,366428,581303,405086
2012年,1912151,1163226,535313,143847,642401,452629,734437,566750
2013年,2209600,1210200,704936,143535,644398,398670,885226,686208
2014年,2210616,1209402,801135,162680,548428,346751,861053,699971
