,企业地震台数,国家级地震台数,地震台数总数,宏观观测点,市、县级地震台数,强震观测点,省级地震台数
1978年,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0
2000年,0,0,1234,0,0,252,0
2001年,0,0,1306,0,0,243,0
2002年,0,0,1294,0,0,150,0
2003年,0,0,1098,0,0,307,0
2004年,0,0,1021,0,0,292,0
2005年,140,139,1465,9042,899,359,287
2006年,107,139,1314,11659,792,681,276
2007年,105,148,1446,12728,848,1976,345
2008年,104,192,1457,16010,916,1996,245
2009年,127,196,1446,22625,1010,1972,240
2010年,124,207,1477,28294,1097,2073,216
2011年,186,187,1617,37518,1219,2209,211
2012年,0,0,1687,0,0,0,0
2013年,186,187,1687,37518,1033,2209,211
2014年,272,182,1870,33153,1212,700,204
