,大中型工业企业专利申请数,大中型工业企业办研究与试验发展机构人员数,大中型工业企业办研究与试验发展机构数,大中型工业企业办研究与试验发展机构科学家和工程师数,大中型工业企业办研究与试验发展机构经费支出,大中型工业企业发明专利申请数,大中型工业企业基础研究研究与试验发展人员全时当量,大中型工业企业基础研究研究与试验发展经费支出,大中型工业企业应用研究研究与试验发展人员全时当量,大中型工业企业应用研究研究与试验发展经费支出,大中型工业企业开发新产品经费,大中型工业企业引进国外技术经费支出,大中型工业企业引进技术消化吸收经费支出,大中型工业企业技术改造经费支出,大中型工业企业新产品出口销售收入,大中型工业企业新产品销售收入,大中型工业企业新产品项目数,大中型工业企业有效发明专利数,大中型工业企业有研究与试验发展活动企业所占比重,大中型工业企业有研究与试验发展活动企业数,大中型工业企业有科技机构的企业数,大中型工业企业来源于企业的科技经费筹集额,大中型工业企业来源于政府的科技经费筹集额,大中型工业企业来源于金融机构贷款的科技经费筹集额,大中型工业企业的科学家和工程师人员,大中型工业企业的科技经费内部支出,大中型工业企业研究与试验发展人员全时当量,大中型工业企业研究与试验发展折合全时科学家和工程师人员,大中型工业企业研究与试验发展经费支出,大中型工业企业研究与试验发展经费支出与主营业务收入之比,大中型工业企业研究与试验发展经费支出中企业资金支出,大中型工业企业研究与试验发展经费支出中政府资金支出,大中型工业企业研究与试验发展项目数,大中型工业企业研究与试验发展项目经费支出,大中型工业企业科技活动人员,大中型工业企业科技经费用于劳务费的内部支出,大中型工业企业科技经费用于固定资产购建的内部支出,大中型工业企业科技经费筹集额,大中型工业企业试验发展研究与试验发展人员全时当量,大中型工业企业试验发展研究与试验发展经费支出,大中型工业企业购买国内技术经费支出
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,40.9,13107.0,19.9,,,,,,,1648000.0,360.9,13.1,1137.8,2950000.0,26200000.0,,,,,9165.0,305.5,27.1,72.5,71.0,365.8,282000.0,,1417000.0,0.46,,,,,123.4,64.7,131.0,427.4,,,25.5
1996年,4936.0,38.5,12033.0,23.6,,,,,,,2073308.8,322.1,13.6,1249.9,4352614.2,33819497.9,57158.0,,,,8179.0,313.8,32.0,89.2,79.6,384.9,338000.0,,1605000.0,0.48,,,,,145.5,63.5,143.4,452.6,,,25.8
1997年,5896.0,37.8,11142.0,23.6,,,,,,,2239933.2,236.5,13.6,1102.4,4770000.0,36307610.4,51405.0,,,,7313.0,348.4,31.5,88.6,80.2,438.4,322000.0,23.6,1883000.0,0.52,,,,,147.4,71.9,155.4,499.8,,,14.6
