,丹麦外观设计专利申请授权数,以色列外观设计专利申请授权数,俄罗斯联邦外观设计专利申请授权数,列支敦士登外观设计专利申请授权数,加拿大外观设计专利申请授权数,匈牙利外观设计专利申请授权数,南非外观设计专利申请授权数,卢森堡外观设计专利申请授权数,印度外观设计专利申请授权数,塞普路斯外观设计专利申请授权数,奥地利外观设计专利申请授权数,巴西外观设计专利申请授权数,德国外观设计专利申请授权数,意大利外观设计专利申请授权数,挪威外观设计专利申请授权数,捷克外观设计专利申请授权数,摩纳哥外观设计专利申请授权数,新加坡外观设计专利申请授权数,新西兰外观设计专利申请授权数,日本外观设计专利申请授权数,比利时外观设计专利申请授权数,法国外观设计专利申请授权数,波兰外观设计专利申请授权数,泰国外观设计专利申请授权数,澳大利亚外观设计专利申请授权数,爱尔兰外观设计专利申请授权数,瑞典外观设计专利申请授权数,瑞士外观设计专利申请授权数,美国外观设计专利申请授权数,芬兰外观设计专利申请授权数,英国外观设计专利申请授权数,荷兰外观设计专利申请授权数,西班牙外观设计专利申请授权数,韩国外观设计专利申请授权数,马来西亚外观设计专利申请授权数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,2,0,0,0,4,0,0,4,1,0,1,0,53,19,1,0,0,6,3,483,4,39,0,10,23,0,17,84,214,8,33,64,2,52,0
1996年,28,1,0,0,7,0,1,0,2,0,6,0,64,27,1,0,0,23,6,787,2,53,0,1,16,0,25,121,339,3,38,70,11,62,4
1997年,6,7,0,0,10,0,3,4,1,0,6,0,78,21,0,0,0,22,6,1225,17,127,0,1,19,0,46,145,478,22,49,92,1,82,6
1998年,13,6,0,1,8,0,0,3,9,0,9,0,150,56,4,0,0,51,1,1621,15,135,0,6,18,0,35,144,604,26,104,82,0,123,10
1999年,11,4,2,0,12,0,2,0,23,1,6,1,163,81,4,0,0,13,1,1471,7,114,0,8,22,2,43,118,728,17,105,95,7,133,6
2000年,26,4,3,11,24,4,2,11,6,0,11,3,162,64,3,0,0,16,10,1310,9,150,0,15,12,0,58,122,723,47,95,127,21,170,8
2001年,31,13,0,2,11,0,1,2,7,0,46,10,165,65,4,0,3,18,7,1661,6,230,0,14,37,1,57,117,700,40,80,86,17,259,7
2002年,32,11,0,24,8,0,1,0,17,0,37,16,261,101,9,0,1,13,4,1868,12,119,0,23,55,0,43,143,741,46,104,94,28,403,21
2003年,37,10,2,26,31,0,5,0,17,0,4,14,348,145,2,0,0,46,1,3100,8,142,5,15,53,4,39,144,925,92,217,112,39,563,12
2004年,35,17,2,19,12,0,2,1,48,0,9,7,412,177,10,1,0,35,6,3614,16,256,0,45,56,15,64,188,1089,86,184,117,34,541,10
