,大中型工业企业研究与试验发展人员全时当量,规模以上工业中外合作经营企业研究与试验发展人员全时当量,规模以上工业中外合资经营企业研究与试验发展人员全时当量,规模以上工业企业研究与试验发展全时当量,规模以上工业其他企业研究与试验发展人员全时当量,规模以上工业内资企业研究与试验发展人员全时当量,规模以上工业国有企业研究与试验发展人员全时当量,规模以上工业国有独资公司研究与试验发展人员全时当量,规模以上工业国有联营企业研究与试验发展人员全时当量,规模以上工业外商投资企业研究与试验发展人员全时当量,规模以上工业外商投资股份有限公司研究与试验发展人员全时当量,规模以上工业外资企业研究与试验发展人员全时当量,规模以上工业有限责任公司研究与试验发展人员全时当量,规模以上工业港、澳、台商合作经营企业研究与试验发展人员全时当量,规模以上工业港、澳、台商合资经营企业研究与试验发展人员全时当量,规模以上工业港、澳、台商投资企业研究与试验发展人员全时当量,规模以上工业港、澳、台商投资股份有限公司研究与试验发展人员全时当量,规模以上工业港、澳、台商独资经营企业研究与试验发展人员全时当量,规模以上工业私营企业研究与试验发展人员全时当量,规模以上工业联营企业研究与试验发展人员全时当量,规模以上工业股份合作企业研究与试验发展人员全时当量,规模以上工业股份有限公司研究与试验发展人员全时当量,规模以上工业集体企业研究与试验发展人员全时当量
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,282000.0,,,,,,,,,,,,,,,,,,,,,,
1996年,338000.0,,,,,,,,,,,,,,,,,,,,,,
1997年,322000.0,,,,,,,,,,,,,,,,,,,,,,
1998年,270000.0,,,,,,,,,,,,,,,,,,,,,,
1999年,303000.0,,,,,,,,,,,,,,,,,,,,,,
2000年,329413.0,,,,,,,,,,,,,,,,,,,,,,
2001年,379321.0,,,,,,,,,,,,,,,,,,,,,,
2002年,424259.0,,,,,,,,,,,,,,,,,,,,,,
2003年,478066.0,,,,,,,,,,,,,,,,,,,,,,
2004年,438164.94,,,541787.0,,,,,,,,,,,,,,,,,,,
2005年,606376.22,,,,,,,,,,,,,,,,,,,,,,
2006年,695668.23,,,,,,,,,,,,,,,,,,,,,,
2007年,857649.74,,,,,,,,,,,,,,,,,,,,,,
2008年,1014223.11,,,1229998.67,,,,,,,,,,,,,,,,,,,
2009年,1158839.0,,,1446826.0,,,,,,,,,,,,,,,,,,,
2010年,1369908.313,,,,,,,,,,,,,,,,,,,,,,
2011年,1587164.6,3276.3,132187.7,1939074.7,13403.2,1442878.5,148871.3,122864.4,1414.6,278674.7,19699.8,123257.7,582652.0,2692.7,87200.7,217521.6,15079.4,112128.8,345095.1,2470.4,6963.1,332955.0,10468.4
2012年,1818585.0,5152.3,153078.0,2246179.0,14712.0,1651158.1,162962.8,126401.8,1944.0,336479.0,18075.1,159289.8,662322.7,3137.7,106372.3,258541.4,15440.7,132163.3,419111.7,2847.0,6671.0,371178.6,11351.3
2013年,1976735.7,4451.3,175109.7,2493957.7,4853.4,1865328.0,85571.8,157465.4,1516.1,354457.1,17587.9,156742.4,807434.6,3290.0,113623.7,274172.7,17329.1,139676.2,523550.6,1589.8,2898.6,432027.3,7401.9
2014年,2037661.2,4674.0,180842.5,2641578.1,3839.4,2003155.3,88868.9,148856.2,1148.3,355263.9,16737.2,152276.9,841754.1,4039.3,109369.8,283158.9,19936.2,149597.2,606229.4,1277.2,3002.9,450615.4,7568.0
