,大中型工业企业研究与试验发展项目数,规模以上工业中外合作经营企业研究与试验发展项目数,规模以上工业中外合资经营企业研究与试验发展项目数,规模以上工业企业研究与试验发展项目数,规模以上工业其他企业研究与试验发展项目数,规模以上工业内资企业研究与试验发展项目数,规模以上工业国有企业研究与试验发展项目数,规模以上工业国有独资公司研究与试验发展项目数,规模以上工业国有联营企业研究与试验发展项目数,规模以上工业外商投资企业研究与试验发展项目数,规模以上工业外商投资股份有限公司研究与试验发展项目数,规模以上工业外资企业研究与试验发展项目数,规模以上工业有限责任公司研究与试验发展项目数,规模以上工业港、澳、台商合作经营企业研究与试验发展项目数,规模以上工业港、澳、台商合资经营企业研究与试验发展项目数,规模以上工业港、澳、台商投资企业研究与试验发展项目数,规模以上工业港、澳、台商投资股份有限公司研究与试验发展项目数,规模以上工业港、澳、台商独资经营企业研究与试验发展项目数,规模以上工业私营企业研究与试验发展项目数,规模以上工业联营企业研究与试验发展项目数,规模以上工业股份合作企业研究与试验发展项目数,规模以上工业股份有限公司研究与试验发展项目数,规模以上工业集体企业研究与试验发展项目数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,53641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,70580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,87207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,92913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,103234,0,0,143448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,133852,0,0,194400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,145589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,161226,521,15335,232158,1527,180487,18376,13040,137,29275,1594,11795,70357,383,10312,22396,1337,10339,52749,231,1074,34183,1990
2012年,192755,676,19311,287524,2092,223459,20092,13737,133,37648,1789,15745,83470,625,12059,26417,1596,11875,72299,225,1320,41490,2471
2013年,205146,795,20622,322567,556,250823,10634,18582,102,42885,1588,19770,102726,568,13611,28859,1541,13075,89657,114,625,44525,1986
2014年,210997,806,20981,342507,488,272155,9964,17916,89,40934,1457,17575,108868,473,13619,29418,1705,13590,103663,107,544,46392,2129
