,中央属科学研究与开发机构数,地方属科学研究与开发机构数,基础研究科研和开发机构研究与试验发展折合全时人员,应用研究科研和开发机构研究与试验发展折合全时人员,科学研究与开发机构出版科技著作,科学研究与开发机构发表科技论文中国外发表数,科学研究与开发机构数,科学研究与开发机构研究与试验发展项目(课题)人员全时当量,科学研究与开发机构研究与试验发展项目(课题)数,科学研究与开发机构研究与试验发展项目(课题)经费支出,科研和开发机构专利申请受理数,科研和开发机构专利申请授权数,科研和开发机构发明专利申请受理数,科研和开发机构发明专利申请授权数,科研和开发机构发表科技论文数量,科研和开发机构基础研究经费支出,科研和开发机构应用研究经费支出,科研和开发机构来源于企业的科技经费筹集额,科研和开发机构来源于政府的科技经费筹集额,科研和开发机构来源于金融机构贷款的科技经费筹集额,科研和开发机构的科学家和工程师人员,科研和开发机构的科技经费内部支出,科研和开发机构的科技经费用于业务费的内部支出,科研和开发机构的科技经费用于劳务费内部支出,科研和开发机构的科技经费用于固定资产构建费内部支出,科研和开发机构的科技经费筹集额,科研和开发机构研究与试验发展人员,科研和开发机构研究与试验发展企业资金经费支出,科研和开发机构研究与试验发展折合全时人员,科研和开发机构研究与试验发展折合全时科学家和工程师人员,科研和开发机构研究与试验发展政府资金经费支出,科研和开发机构研究与试验发展经费支出,科研和开发机构科技活动人员,科研和开发机构试验发展经费支出,试验发展科研和开发机构研究与试验发展折合全时人员
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,2.1,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,45.5,0.0,179.2,39.4,38.0,353.9,0.0,87.7,79.7,393.5,0.0,0.0,24.5,18.4,0.0,146.4,64.4,90.7,13.2
1996年,0.0,0.0,2.1,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,47.3,0.0,192.9,42.8,38.5,409.1,0.0,97.2,91.7,436.0,0.0,0.0,23.0,17.9,0.0,172.9,63.2,114.3,12.1
1997年,0.0,0.0,2.2082,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,69.6,0.0,218.5,48.1,37.5,467.1,158.11313,109.8,99.3,502.1,0.0,0.0,25.4,19.2,0.0,206.4,61.4,121.8,13.7
1998年,0.0,0.0,2.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,65.9,78.1,244.7,63.9,36.3,479.7,162.9838,116.7,94.2,540.3,0.0,0.0,22.7,16.1,0.0,234.3,58.8,150.8,10.1
1999年,0.0,0.0,2.3,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,88.6,34.33303,338.6088,20.85509,33.6031,491.67945,178.82415,115.05002,99.04353,537.57224,0.0,0.0,23.3347,16.7356,0.0,260.5,53.4554,151.9,12.4
2000年,0.0,0.0,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,66.7,37.6503,377.42093,10.6794,29.6503,495.69928,245.11801,120.41113,99.66107,559.38529,0.0,0.0,22.7193,14.9549,0.0,258.0,47.2466,166.0,12.8193
2001年,0.0,0.0,2.3795,7.5565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,80.0,25.4,434.9,8.6,27.6,557.9,231.9,142.5,123.9,626.0,0.0,0.0,20.5,14.8,0.0,288.5,42.7,174.9,10.5
2002年,0.0,0.0,2.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3820.0,1601.0,2651.0,824.0,91827.0,40.7,121.2,36.3,498.0,11.9,27.1,620.2,298.6,159.8,122.0,702.7,0.0,0.0,20.6,15.2,0.0,351.3,41.5,189.4,10.2
2003年,0.0,0.0,2.6,7.9,0.0,0.0,0.0,0.0,0.0,0.0,4836.0,2249.0,3454.0,1393.0,97500.0,46.9014,141.0634,47.1,535.0,11.3,26.7,681.3,313.5,169.1,138.0,750.6,0.0,20.8102269887,20.4,15.5,320.327067745,398.9936,40.6,211.0288,9.9
2004年,0.0,0.0,2.7341,8.0899,0.0,0.0,0.0,0.0,0.0,0.0,5464.0,3009.0,4081.0,1972.0,104699.0,51.6669,159.0942,49.8134,596.0509,9.07,26.2866,706.2708,393.5202,172.2317,140.5189,789.055,0.0,22.4045845935,20.3347,15.8224,344.297778735,431.7456,39.7761,220.9845,9.5107
2005年,679.0,3222.0,2.8049,8.3309,3578.0,15638.0,3901.0,17.6,39072.0,353.4911,6814.0,3234.0,5064.0,2088.0,109995.0,58.0,176.3,56.172,763.3962,12.6881,31.8619,829.6582,504.2102,155.2,170.2768,950.4369,24.1,17.6,21.5263,16.8774,424.7,513.0997,45.59,278.7,10.3905
2006年,673.0,3130.0,3.2,8.9,3791.0,17597.0,3803.0,20.187,42262.0,365.3731,8026.0,3499.0,6200.0,2191.0,118211.0,67.9,196.2,52.7,835.5,11.5,32.9,914.8,528.0,175.5,211.4,1020.3,25.7,17.3,23.1,17.7,481.2,567.3,46.2,303.2,11.0
2007年,674.0,3101.0,3.6,9.3,4134.0,19596.0,3775.0,22.1896,49453.0,451.7424,9802.0,4036.0,7782.0,2467.0,126527.0,74.7,227.1,54.3,1041.7,10.2,35.6,1095.0,641.9,212.7,240.4,1264.4,29.0,26.2,25.5,19.8,592.9,687.9,47.8,386.1,12.6
2008年,678.0,3049.0,3.8,9.7,4691.0,21498.0,3727.0,22.9075,54900.0,537.7461,12536.0,5048.0,9864.0,3102.0,132072.0,92.7,271.3,41.6,1156.6,4.7,37.3,1239.9,716.7,238.2,285.0,1396.9,30.4,28.2,26.0,20.4,699.7,811.3,48.8,447.2,12.5
2009年,691.0,3016.0,4.1,10.3,4788.0,25882.0,3707.0,23.7304,61135.0,579.8282,15773.0,6391.0,12361.0,4077.0,138119.0,110.6,350.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,29.8,27.7,0.0,849.5,996.0,0.0,534.4,13.4
2010年,686.0,3010.0,4.2,10.9,3922.0,26862.0,3696.0,25.4,67050.0,681.4874,19192.0,8698.0,14979.0,5249.0,140818.0,129.9,387.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,34.2,29.3,0.0,1036.5,1186.4,0.0,668.9,14.2
2011年,686.0,2987.0,4.9863,11.3,4292.0,31598.0,3673.0,27.3374,70967.0,807.0514,24059.0,12126.0,18227.0,7862.0,148039.0,160.15146,417.2387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.214,39.8776,31.5679,0.0,1106.115,1306.7417,0.0,729.316,15.1725
2012年,710.0,2964.0,5.6958,12.1261,4458.0,35173.0,3674.0,31.0685,79343.0,1078.2765,30418.0,16551.0,23406.0,10935.0,158647.0,197.9114,469.2682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8241,47.4115,34.3978,0.0,1292.7057,1548.9328,0.0,881.70487,16.5487
2013年,711.0,2940.0,6.0852,12.9684,4619.0,41072.0,3651.0,32.74663,85069.0,1221.66457,37040.0,20095.0,28628.0,12542.0,164440.0,221.58841,525.83604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9032,60.94931,36.3691,0.0,1481.22768,1781.3972,0.0,1033.97275,17.3155
2014年,720.0,2957.0,6.6,12.8,5023.0,47032.0,3677.0,33.9874,91465.0,1272.69,41966.0,24870.0,32265.0,15786.0,171928.0,258.9,552.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,62.9,37.4,0.0,1581.0,1926.2,0.0,1114.4,18.0
